"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84034001","34001","Atlantic County","NJ","34","001","H1"
"84034003","34003","Bergen County","NJ","34","003","H1"
"84034005","34005","Burlington County","NJ","34","005","H1"
"84034007","34007","Camden County","NJ","34","007","H1"
"84034009","34009","Cape May County","NJ","34","009","H1"
"84034011","34011","Cumberland County","NJ","34","011","H1"
"84034013","34013","Essex County","NJ","34","013","H1"
"84034015","34015","Gloucester County","NJ","34","015","H1"
"84034017","34017","Hudson County","NJ","34","017","H1"
"84034019","34019","Hunterdon County","NJ","34","019","H1"
"84034021","34021","Mercer County","NJ","34","021","H1"
"84034023","34023","Middlesex County","NJ","34","023","H1"
"84034025","34025","Monmouth County","NJ","34","025","H1"
"84034027","34027","Morris County","NJ","34","027","H1"
"84034029","34029","Ocean County","NJ","34","029","H1"
"84034031","34031","Passaic County","NJ","34","031","H1"
"84034033","34033","Salem County","NJ","34","033","H1"
"84034035","34035","Somerset County","NJ","34","035","H1"
"84034037","34037","Sussex County","NJ","34","037","H1"
"84034039","34039","Union County","NJ","34","039","H1"
"84034041","34041","Warren County","NJ","34","041","H1"
