"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84035001","35001","Bernalillo County","NM","35","001","H1"
"84035003","35003","Catron County","NM","35","003","H1"
"84035005","35005","Chaves County","NM","35","005","H1"
"84035006","35006","Cibola County","NM","35","006","H1"
"84035007","35007","Colfax County","NM","35","007","H1"
"84035009","35009","Curry County","NM","35","009","H1"
"84035011","35011","De Baca County","NM","35","011","H1"
"84035013","35013","Dona Ana County","NM","35","013","H1"
"84035015","35015","Eddy County","NM","35","015","H1"
"84035017","35017","Grant County","NM","35","017","H1"
"84035019","35019","Guadalupe County","NM","35","019","H1"
"84035021","35021","Harding County","NM","35","021","H1"
"84035023","35023","Hidalgo County","NM","35","023","H1"
"84035025","35025","Lea County","NM","35","025","H1"
"84035027","35027","Lincoln County","NM","35","027","H1"
"84035028","35028","Los Alamos County","NM","35","028","H1"
"84035029","35029","Luna County","NM","35","029","H1"
"84035031","35031","McKinley County","NM","35","031","H1"
"84035033","35033","Mora County","NM","35","033","H1"
"84035035","35035","Otero County","NM","35","035","H1"
"84035037","35037","Quay County","NM","35","037","H1"
"84035039","35039","Rio Arriba County","NM","35","039","H1"
"84035041","35041","Roosevelt County","NM","35","041","H1"
"84035043","35043","Sandoval County","NM","35","043","H1"
"84035045","35045","San Juan County","NM","35","045","H1"
"84035047","35047","San Miguel County","NM","35","047","H1"
"84035049","35049","Santa Fe County","NM","35","049","H1"
"84035051","35051","Sierra County","NM","35","051","H1"
"84035053","35053","Socorro County","NM","35","053","H1"
"84035055","35055","Taos County","NM","35","055","H1"
"84035057","35057","Torrance County","NM","35","057","H1"
"84035059","35059","Union County","NM","35","059","H1"
"84035061","35061","Valencia County","NM","35","061","H1"
