"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84036001","36001","Albany County","NY","36","001","H1"
"84036003","36003","Allegany County","NY","36","003","H1"
"84036005","36005","Bronx County","NY","36","005","H6"
"84036007","36007","Broome County","NY","36","007","H1"
"84036009","36009","Cattaraugus County","NY","36","009","H1"
"84036011","36011","Cayuga County","NY","36","011","H1"
"84036013","36013","Chautauqua County","NY","36","013","H1"
"84036015","36015","Chemung County","NY","36","015","H1"
"84036017","36017","Chenango County","NY","36","017","H1"
"84036019","36019","Clinton County","NY","36","019","H1"
"84036021","36021","Columbia County","NY","36","021","H1"
"84036023","36023","Cortland County","NY","36","023","H1"
"84036025","36025","Delaware County","NY","36","025","H1"
"84036027","36027","Dutchess County","NY","36","027","H1"
"84036029","36029","Erie County","NY","36","029","H1"
"84036031","36031","Essex County","NY","36","031","H1"
"84036033","36033","Franklin County","NY","36","033","H1"
"84036035","36035","Fulton County","NY","36","035","H1"
"84036037","36037","Genesee County","NY","36","037","H1"
"84036039","36039","Greene County","NY","36","039","H1"
"84036041","36041","Hamilton County","NY","36","041","H1"
"84036043","36043","Herkimer County","NY","36","043","H1"
"84036045","36045","Jefferson County","NY","36","045","H1"
"84036047","36047","Kings County","NY","36","047","H6"
"84036049","36049","Lewis County","NY","36","049","H1"
"84036051","36051","Livingston County","NY","36","051","H1"
"84036053","36053","Madison County","NY","36","053","H1"
"84036055","36055","Monroe County","NY","36","055","H1"
"84036057","36057","Montgomery County","NY","36","057","H1"
"84036059","36059","Nassau County","NY","36","059","H1"
"84036061","36061","New York County","NY","36","061","H6"
"84036063","36063","Niagara County","NY","36","063","H1"
"84036065","36065","Oneida County","NY","36","065","H1"
"84036067","36067","Onondaga County","NY","36","067","H1"
"84036069","36069","Ontario County","NY","36","069","H1"
"84036071","36071","Orange County","NY","36","071","H1"
"84036073","36073","Orleans County","NY","36","073","H1"
"84036075","36075","Oswego County","NY","36","075","H1"
"84036077","36077","Otsego County","NY","36","077","H1"
"84036079","36079","Putnam County","NY","36","079","H1"
"84036081","36081","Queens County","NY","36","081","H6"
"84036083","36083","Rensselaer County","NY","36","083","H1"
"84036085","36085","Richmond County","NY","36","085","H6"
"84036087","36087","Rockland County","NY","36","087","H1"
"84036089","36089","St. Lawrence County","NY","36","089","H1"
"84036091","36091","Saratoga County","NY","36","091","H1"
"84036093","36093","Schenectady County","NY","36","093","H1"
"84036095","36095","Schoharie County","NY","36","095","H1"
"84036097","36097","Schuyler County","NY","36","097","H1"
"84036099","36099","Seneca County","NY","36","099","H1"
"84036101","36101","Steuben County","NY","36","101","H1"
"84036103","36103","Suffolk County","NY","36","103","H1"
"84036105","36105","Sullivan County","NY","36","105","H1"
"84036107","36107","Tioga County","NY","36","107","H1"
"84036109","36109","Tompkins County","NY","36","109","H1"
"84036111","36111","Ulster County","NY","36","111","H1"
"84036113","36113","Warren County","NY","36","113","H1"
"84036115","36115","Washington County","NY","36","115","H1"
"84036117","36117","Wayne County","NY","36","117","H1"
"84036119","36119","Westchester County","NY","36","119","H1"
"84036121","36121","Wyoming County","NY","36","121","H1"
"84036123","36123","Yates County","NY","36","123","H1"
