"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84037001","37001","Alamance County","NC","37","001","H1"
"84037003","37003","Alexander County","NC","37","003","H1"
"84037005","37005","Alleghany County","NC","37","005","H1"
"84037007","37007","Anson County","NC","37","007","H1"
"84037009","37009","Ashe County","NC","37","009","H1"
"84037011","37011","Avery County","NC","37","011","H1"
"84037013","37013","Beaufort County","NC","37","013","H1"
"84037015","37015","Bertie County","NC","37","015","H1"
"84037017","37017","Bladen County","NC","37","017","H1"
"84037019","37019","Brunswick County","NC","37","019","H1"
"84037021","37021","Buncombe County","NC","37","021","H1"
"84037023","37023","Burke County","NC","37","023","H1"
"84037025","37025","Cabarrus County","NC","37","025","H1"
"84037027","37027","Caldwell County","NC","37","027","H1"
"84037029","37029","Camden County","NC","37","029","H1"
"84037031","37031","Carteret County","NC","37","031","H1"
"84037033","37033","Caswell County","NC","37","033","H1"
"84037035","37035","Catawba County","NC","37","035","H1"
"84037037","37037","Chatham County","NC","37","037","H1"
"84037039","37039","Cherokee County","NC","37","039","H1"
"84037041","37041","Chowan County","NC","37","041","H1"
"84037043","37043","Clay County","NC","37","043","H1"
"84037045","37045","Cleveland County","NC","37","045","H1"
"84037047","37047","Columbus County","NC","37","047","H1"
"84037049","37049","Craven County","NC","37","049","H1"
"84037051","37051","Cumberland County","NC","37","051","H1"
"84037053","37053","Currituck County","NC","37","053","H1"
"84037055","37055","Dare County","NC","37","055","H1"
"84037057","37057","Davidson County","NC","37","057","H1"
"84037059","37059","Davie County","NC","37","059","H1"
"84037061","37061","Duplin County","NC","37","061","H1"
"84037063","37063","Durham County","NC","37","063","H1"
"84037065","37065","Edgecombe County","NC","37","065","H1"
"84037067","37067","Forsyth County","NC","37","067","H1"
"84037069","37069","Franklin County","NC","37","069","H1"
"84037071","37071","Gaston County","NC","37","071","H1"
"84037073","37073","Gates County","NC","37","073","H1"
"84037075","37075","Graham County","NC","37","075","H1"
"84037077","37077","Granville County","NC","37","077","H1"
"84037079","37079","Greene County","NC","37","079","H1"
"84037081","37081","Guilford County","NC","37","081","H1"
"84037083","37083","Halifax County","NC","37","083","H1"
"84037085","37085","Harnett County","NC","37","085","H1"
"84037087","37087","Haywood County","NC","37","087","H1"
"84037089","37089","Henderson County","NC","37","089","H1"
"84037091","37091","Hertford County","NC","37","091","H1"
"84037093","37093","Hoke County","NC","37","093","H1"
"84037095","37095","Hyde County","NC","37","095","H1"
"84037097","37097","Iredell County","NC","37","097","H1"
"84037099","37099","Jackson County","NC","37","099","H1"
"84037101","37101","Johnston County","NC","37","101","H1"
"84037103","37103","Jones County","NC","37","103","H1"
"84037105","37105","Lee County","NC","37","105","H1"
"84037107","37107","Lenoir County","NC","37","107","H1"
"84037109","37109","Lincoln County","NC","37","109","H1"
"84037111","37111","McDowell County","NC","37","111","H1"
"84037113","37113","Macon County","NC","37","113","H1"
"84037115","37115","Madison County","NC","37","115","H1"
"84037117","37117","Martin County","NC","37","117","H1"
"84037119","37119","Mecklenburg County","NC","37","119","H1"
"84037121","37121","Mitchell County","NC","37","121","H1"
"84037123","37123","Montgomery County","NC","37","123","H1"
"84037125","37125","Moore County","NC","37","125","H1"
"84037127","37127","Nash County","NC","37","127","H1"
"84037129","37129","New Hanover County","NC","37","129","H1"
"84037131","37131","Northampton County","NC","37","131","H1"
"84037133","37133","Onslow County","NC","37","133","H1"
"84037135","37135","Orange County","NC","37","135","H1"
"84037137","37137","Pamlico County","NC","37","137","H1"
"84037139","37139","Pasquotank County","NC","37","139","H1"
"84037141","37141","Pender County","NC","37","141","H1"
"84037143","37143","Perquimans County","NC","37","143","H1"
"84037145","37145","Person County","NC","37","145","H1"
"84037147","37147","Pitt County","NC","37","147","H1"
"84037149","37149","Polk County","NC","37","149","H1"
"84037151","37151","Randolph County","NC","37","151","H1"
"84037153","37153","Richmond County","NC","37","153","H1"
"84037155","37155","Robeson County","NC","37","155","H1"
"84037157","37157","Rockingham County","NC","37","157","H1"
"84037159","37159","Rowan County","NC","37","159","H1"
"84037161","37161","Rutherford County","NC","37","161","H1"
"84037163","37163","Sampson County","NC","37","163","H1"
"84037165","37165","Scotland County","NC","37","165","H1"
"84037167","37167","Stanly County","NC","37","167","H1"
"84037169","37169","Stokes County","NC","37","169","H1"
"84037171","37171","Surry County","NC","37","171","H1"
"84037173","37173","Swain County","NC","37","173","H1"
"84037175","37175","Transylvania County","NC","37","175","H1"
"84037177","37177","Tyrrell County","NC","37","177","H1"
"84037179","37179","Union County","NC","37","179","H1"
"84037181","37181","Vance County","NC","37","181","H1"
"84037183","37183","Wake County","NC","37","183","H1"
"84037185","37185","Warren County","NC","37","185","H1"
"84037187","37187","Washington County","NC","37","187","H1"
"84037189","37189","Watauga County","NC","37","189","H1"
"84037191","37191","Wayne County","NC","37","191","H1"
"84037193","37193","Wilkes County","NC","37","193","H1"
"84037195","37195","Wilson County","NC","37","195","H1"
"84037197","37197","Yadkin County","NC","37","197","H1"
"84037199","37199","Yancey County","NC","37","199","H1"
