"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84038001","38001","Adams County","ND","38","001","H1"
"84038003","38003","Barnes County","ND","38","003","H1"
"84038005","38005","Benson County","ND","38","005","H1"
"84038007","38007","Billings County","ND","38","007","H1"
"84038009","38009","Bottineau County","ND","38","009","H1"
"84038011","38011","Bowman County","ND","38","011","H1"
"84038013","38013","Burke County","ND","38","013","H1"
"84038015","38015","Burleigh County","ND","38","015","H1"
"84038017","38017","Cass County","ND","38","017","H1"
"84038019","38019","Cavalier County","ND","38","019","H1"
"84038021","38021","Dickey County","ND","38","021","H1"
"84038023","38023","Divide County","ND","38","023","H1"
"84038025","38025","Dunn County","ND","38","025","H1"
"84038027","38027","Eddy County","ND","38","027","H1"
"84038029","38029","Emmons County","ND","38","029","H1"
"84038031","38031","Foster County","ND","38","031","H1"
"84038033","38033","Golden Valley County","ND","38","033","H1"
"84038035","38035","Grand Forks County","ND","38","035","H1"
"84038037","38037","Grant County","ND","38","037","H1"
"84038039","38039","Griggs County","ND","38","039","H1"
"84038041","38041","Hettinger County","ND","38","041","H1"
"84038043","38043","Kidder County","ND","38","043","H1"
"84038045","38045","LaMoure County","ND","38","045","H1"
"84038047","38047","Logan County","ND","38","047","H1"
"84038049","38049","McHenry County","ND","38","049","H1"
"84038051","38051","McIntosh County","ND","38","051","H1"
"84038053","38053","McKenzie County","ND","38","053","H1"
"84038055","38055","McLean County","ND","38","055","H1"
"84038057","38057","Mercer County","ND","38","057","H1"
"84038059","38059","Morton County","ND","38","059","H1"
"84038061","38061","Mountrail County","ND","38","061","H1"
"84038063","38063","Nelson County","ND","38","063","H1"
"84038065","38065","Oliver County","ND","38","065","H1"
"84038067","38067","Pembina County","ND","38","067","H1"
"84038069","38069","Pierce County","ND","38","069","H1"
"84038071","38071","Ramsey County","ND","38","071","H1"
"84038073","38073","Ransom County","ND","38","073","H1"
"84038075","38075","Renville County","ND","38","075","H1"
"84038077","38077","Richland County","ND","38","077","H1"
"84038079","38079","Rolette County","ND","38","079","H1"
"84038081","38081","Sargent County","ND","38","081","H1"
"84038083","38083","Sheridan County","ND","38","083","H1"
"84038085","38085","Sioux County","ND","38","085","H1"
"84038087","38087","Slope County","ND","38","087","H1"
"84038089","38089","Stark County","ND","38","089","H1"
"84038091","38091","Steele County","ND","38","091","H1"
"84038093","38093","Stutsman County","ND","38","093","H1"
"84038095","38095","Towner County","ND","38","095","H1"
"84038097","38097","Traill County","ND","38","097","H1"
"84038099","38099","Walsh County","ND","38","099","H1"
"84038101","38101","Ward County","ND","38","101","H1"
"84038103","38103","Wells County","ND","38","103","H1"
"84038105","38105","Williams County","ND","38","105","H1"
