"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84039001","39001","Adams County","OH","39","001","H1"
"84039003","39003","Allen County","OH","39","003","H1"
"84039005","39005","Ashland County","OH","39","005","H1"
"84039007","39007","Ashtabula County","OH","39","007","H1"
"84039009","39009","Athens County","OH","39","009","H1"
"84039011","39011","Auglaize County","OH","39","011","H1"
"84039013","39013","Belmont County","OH","39","013","H1"
"84039015","39015","Brown County","OH","39","015","H1"
"84039017","39017","Butler County","OH","39","017","H1"
"84039019","39019","Carroll County","OH","39","019","H1"
"84039021","39021","Champaign County","OH","39","021","H1"
"84039023","39023","Clark County","OH","39","023","H1"
"84039025","39025","Clermont County","OH","39","025","H1"
"84039027","39027","Clinton County","OH","39","027","H1"
"84039029","39029","Columbiana County","OH","39","029","H1"
"84039031","39031","Coshocton County","OH","39","031","H1"
"84039033","39033","Crawford County","OH","39","033","H1"
"84039035","39035","Cuyahoga County","OH","39","035","H1"
"84039037","39037","Darke County","OH","39","037","H1"
"84039039","39039","Defiance County","OH","39","039","H1"
"84039041","39041","Delaware County","OH","39","041","H1"
"84039043","39043","Erie County","OH","39","043","H1"
"84039045","39045","Fairfield County","OH","39","045","H1"
"84039047","39047","Fayette County","OH","39","047","H1"
"84039049","39049","Franklin County","OH","39","049","H1"
"84039051","39051","Fulton County","OH","39","051","H1"
"84039053","39053","Gallia County","OH","39","053","H1"
"84039055","39055","Geauga County","OH","39","055","H1"
"84039057","39057","Greene County","OH","39","057","H1"
"84039059","39059","Guernsey County","OH","39","059","H1"
"84039061","39061","Hamilton County","OH","39","061","H1"
"84039063","39063","Hancock County","OH","39","063","H1"
"84039065","39065","Hardin County","OH","39","065","H1"
"84039067","39067","Harrison County","OH","39","067","H1"
"84039069","39069","Henry County","OH","39","069","H1"
"84039071","39071","Highland County","OH","39","071","H1"
"84039073","39073","Hocking County","OH","39","073","H1"
"84039075","39075","Holmes County","OH","39","075","H1"
"84039077","39077","Huron County","OH","39","077","H1"
"84039079","39079","Jackson County","OH","39","079","H1"
"84039081","39081","Jefferson County","OH","39","081","H1"
"84039083","39083","Knox County","OH","39","083","H1"
"84039085","39085","Lake County","OH","39","085","H1"
"84039087","39087","Lawrence County","OH","39","087","H1"
"84039089","39089","Licking County","OH","39","089","H1"
"84039091","39091","Logan County","OH","39","091","H1"
"84039093","39093","Lorain County","OH","39","093","H1"
"84039095","39095","Lucas County","OH","39","095","H1"
"84039097","39097","Madison County","OH","39","097","H1"
"84039099","39099","Mahoning County","OH","39","099","H1"
"84039101","39101","Marion County","OH","39","101","H1"
"84039103","39103","Medina County","OH","39","103","H1"
"84039105","39105","Meigs County","OH","39","105","H1"
"84039107","39107","Mercer County","OH","39","107","H1"
"84039109","39109","Miami County","OH","39","109","H1"
"84039111","39111","Monroe County","OH","39","111","H1"
"84039113","39113","Montgomery County","OH","39","113","H1"
"84039115","39115","Morgan County","OH","39","115","H1"
"84039117","39117","Morrow County","OH","39","117","H1"
"84039119","39119","Muskingum County","OH","39","119","H1"
"84039121","39121","Noble County","OH","39","121","H1"
"84039123","39123","Ottawa County","OH","39","123","H1"
"84039125","39125","Paulding County","OH","39","125","H1"
"84039127","39127","Perry County","OH","39","127","H1"
"84039129","39129","Pickaway County","OH","39","129","H1"
"84039131","39131","Pike County","OH","39","131","H1"
"84039133","39133","Portage County","OH","39","133","H1"
"84039135","39135","Preble County","OH","39","135","H1"
"84039137","39137","Putnam County","OH","39","137","H1"
"84039139","39139","Richland County","OH","39","139","H1"
"84039141","39141","Ross County","OH","39","141","H1"
"84039143","39143","Sandusky County","OH","39","143","H1"
"84039145","39145","Scioto County","OH","39","145","H1"
"84039147","39147","Seneca County","OH","39","147","H1"
"84039149","39149","Shelby County","OH","39","149","H1"
"84039151","39151","Stark County","OH","39","151","H1"
"84039153","39153","Summit County","OH","39","153","H1"
"84039155","39155","Trumbull County","OH","39","155","H1"
"84039157","39157","Tuscarawas County","OH","39","157","H1"
"84039159","39159","Union County","OH","39","159","H1"
"84039161","39161","Van Wert County","OH","39","161","H1"
"84039163","39163","Vinton County","OH","39","163","H1"
"84039165","39165","Warren County","OH","39","165","H1"
"84039167","39167","Washington County","OH","39","167","H1"
"84039169","39169","Wayne County","OH","39","169","H1"
"84039171","39171","Williams County","OH","39","171","H1"
"84039173","39173","Wood County","OH","39","173","H1"
"84039175","39175","Wyandot County","OH","39","175","H1"
