"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84041001","41001","Baker County","OR","41","001","H1"
"84041003","41003","Benton County","OR","41","003","H1"
"84041005","41005","Clackamas County","OR","41","005","H1"
"84041007","41007","Clatsop County","OR","41","007","H1"
"84041009","41009","Columbia County","OR","41","009","H1"
"84041011","41011","Coos County","OR","41","011","H1"
"84041013","41013","Crook County","OR","41","013","H1"
"84041015","41015","Curry County","OR","41","015","H1"
"84041017","41017","Deschutes County","OR","41","017","H1"
"84041019","41019","Douglas County","OR","41","019","H1"
"84041021","41021","Gilliam County","OR","41","021","H1"
"84041023","41023","Grant County","OR","41","023","H1"
"84041025","41025","Harney County","OR","41","025","H1"
"84041027","41027","Hood River County","OR","41","027","H1"
"84041029","41029","Jackson County","OR","41","029","H1"
"84041031","41031","Jefferson County","OR","41","031","H1"
"84041033","41033","Josephine County","OR","41","033","H1"
"84041035","41035","Klamath County","OR","41","035","H1"
"84041037","41037","Lake County","OR","41","037","H1"
"84041039","41039","Lane County","OR","41","039","H1"
"84041041","41041","Lincoln County","OR","41","041","H1"
"84041043","41043","Linn County","OR","41","043","H1"
"84041045","41045","Malheur County","OR","41","045","H1"
"84041047","41047","Marion County","OR","41","047","H1"
"84041049","41049","Morrow County","OR","41","049","H1"
"84041051","41051","Multnomah County","OR","41","051","H1"
"84041053","41053","Polk County","OR","41","053","H1"
"84041055","41055","Sherman County","OR","41","055","H1"
"84041057","41057","Tillamook County","OR","41","057","H1"
"84041059","41059","Umatilla County","OR","41","059","H1"
"84041061","41061","Union County","OR","41","061","H1"
"84041063","41063","Wallowa County","OR","41","063","H1"
"84041065","41065","Wasco County","OR","41","065","H1"
"84041067","41067","Washington County","OR","41","067","H1"
"84041069","41069","Wheeler County","OR","41","069","H1"
"84041071","41071","Yamhill County","OR","41","071","H1"
