"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84042001","42001","Adams County","PA","42","001","H1"
"84042003","42003","Allegheny County","PA","42","003","H1"
"84042005","42005","Armstrong County","PA","42","005","H1"
"84042007","42007","Beaver County","PA","42","007","H1"
"84042009","42009","Bedford County","PA","42","009","H1"
"84042011","42011","Berks County","PA","42","011","H1"
"84042013","42013","Blair County","PA","42","013","H1"
"84042015","42015","Bradford County","PA","42","015","H1"
"84042017","42017","Bucks County","PA","42","017","H1"
"84042019","42019","Butler County","PA","42","019","H1"
"84042021","42021","Cambria County","PA","42","021","H1"
"84042023","42023","Cameron County","PA","42","023","H1"
"84042025","42025","Carbon County","PA","42","025","H1"
"84042027","42027","Centre County","PA","42","027","H1"
"84042029","42029","Chester County","PA","42","029","H1"
"84042031","42031","Clarion County","PA","42","031","H1"
"84042033","42033","Clearfield County","PA","42","033","H1"
"84042035","42035","Clinton County","PA","42","035","H1"
"84042037","42037","Columbia County","PA","42","037","H1"
"84042039","42039","Crawford County","PA","42","039","H1"
"84042041","42041","Cumberland County","PA","42","041","H1"
"84042043","42043","Dauphin County","PA","42","043","H1"
"84042045","42045","Delaware County","PA","42","045","H1"
"84042047","42047","Elk County","PA","42","047","H1"
"84042049","42049","Erie County","PA","42","049","H1"
"84042051","42051","Fayette County","PA","42","051","H1"
"84042053","42053","Forest County","PA","42","053","H1"
"84042055","42055","Franklin County","PA","42","055","H1"
"84042057","42057","Fulton County","PA","42","057","H1"
"84042059","42059","Greene County","PA","42","059","H1"
"84042061","42061","Huntingdon County","PA","42","061","H1"
"84042063","42063","Indiana County","PA","42","063","H1"
"84042065","42065","Jefferson County","PA","42","065","H1"
"84042067","42067","Juniata County","PA","42","067","H1"
"84042069","42069","Lackawanna County","PA","42","069","H1"
"84042071","42071","Lancaster County","PA","42","071","H1"
"84042073","42073","Lawrence County","PA","42","073","H1"
"84042075","42075","Lebanon County","PA","42","075","H1"
"84042077","42077","Lehigh County","PA","42","077","H1"
"84042079","42079","Luzerne County","PA","42","079","H1"
"84042081","42081","Lycoming County","PA","42","081","H1"
"84042083","42083","McKean County","PA","42","083","H1"
"84042085","42085","Mercer County","PA","42","085","H1"
"84042087","42087","Mifflin County","PA","42","087","H1"
"84042089","42089","Monroe County","PA","42","089","H1"
"84042091","42091","Montgomery County","PA","42","091","H1"
"84042093","42093","Montour County","PA","42","093","H1"
"84042095","42095","Northampton County","PA","42","095","H1"
"84042097","42097","Northumberland County","PA","42","097","H1"
"84042099","42099","Perry County","PA","42","099","H1"
"84042101","42101","Philadelphia County","PA","42","101","H6"
"84042103","42103","Pike County","PA","42","103","H1"
"84042105","42105","Potter County","PA","42","105","H1"
"84042107","42107","Schuylkill County","PA","42","107","H1"
"84042109","42109","Snyder County","PA","42","109","H1"
"84042111","42111","Somerset County","PA","42","111","H1"
"84042113","42113","Sullivan County","PA","42","113","H1"
"84042115","42115","Susquehanna County","PA","42","115","H1"
"84042117","42117","Tioga County","PA","42","117","H1"
"84042119","42119","Union County","PA","42","119","H1"
"84042121","42121","Venango County","PA","42","121","H1"
"84042123","42123","Warren County","PA","42","123","H1"
"84042125","42125","Washington County","PA","42","125","H1"
"84042127","42127","Wayne County","PA","42","127","H1"
"84042129","42129","Westmoreland County","PA","42","129","H1"
"84042131","42131","Wyoming County","PA","42","131","H1"
"84042133","42133","York County","PA","42","133","H1"
