"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84045001","45001","Abbeville County","SC","45","001","H1"
"84045003","45003","Aiken County","SC","45","003","H1"
"84045005","45005","Allendale County","SC","45","005","H1"
"84045007","45007","Anderson County","SC","45","007","H1"
"84045009","45009","Bamberg County","SC","45","009","H1"
"84045011","45011","Barnwell County","SC","45","011","H1"
"84045013","45013","Beaufort County","SC","45","013","H1"
"84045015","45015","Berkeley County","SC","45","015","H1"
"84045017","45017","Calhoun County","SC","45","017","H1"
"84045019","45019","Charleston County","SC","45","019","H1"
"84045021","45021","Cherokee County","SC","45","021","H1"
"84045023","45023","Chester County","SC","45","023","H1"
"84045025","45025","Chesterfield County","SC","45","025","H1"
"84045027","45027","Clarendon County","SC","45","027","H1"
"84045029","45029","Colleton County","SC","45","029","H1"
"84045031","45031","Darlington County","SC","45","031","H1"
"84045033","45033","Dillon County","SC","45","033","H1"
"84045035","45035","Dorchester County","SC","45","035","H1"
"84045037","45037","Edgefield County","SC","45","037","H1"
"84045039","45039","Fairfield County","SC","45","039","H1"
"84045041","45041","Florence County","SC","45","041","H1"
"84045043","45043","Georgetown County","SC","45","043","H1"
"84045045","45045","Greenville County","SC","45","045","H1"
"84045047","45047","Greenwood County","SC","45","047","H1"
"84045049","45049","Hampton County","SC","45","049","H1"
"84045051","45051","Horry County","SC","45","051","H1"
"84045053","45053","Jasper County","SC","45","053","H1"
"84045055","45055","Kershaw County","SC","45","055","H1"
"84045057","45057","Lancaster County","SC","45","057","H1"
"84045059","45059","Laurens County","SC","45","059","H1"
"84045061","45061","Lee County","SC","45","061","H1"
"84045063","45063","Lexington County","SC","45","063","H1"
"84045065","45065","McCormick County","SC","45","065","H1"
"84045067","45067","Marion County","SC","45","067","H1"
"84045069","45069","Marlboro County","SC","45","069","H1"
"84045071","45071","Newberry County","SC","45","071","H1"
"84045073","45073","Oconee County","SC","45","073","H1"
"84045075","45075","Orangeburg County","SC","45","075","H1"
"84045077","45077","Pickens County","SC","45","077","H1"
"84045079","45079","Richland County","SC","45","079","H1"
"84045081","45081","Saluda County","SC","45","081","H1"
"84045083","45083","Spartanburg County","SC","45","083","H1"
"84045085","45085","Sumter County","SC","45","085","H1"
"84045087","45087","Union County","SC","45","087","H1"
"84045089","45089","Williamsburg County","SC","45","089","H1"
"84045091","45091","York County","SC","45","091","H1"
