"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84046003","46003","Aurora County","SD","46","003","H1"
"84046005","46005","Beadle County","SD","46","005","H1"
"84046007","46007","Bennett County","SD","46","007","H1"
"84046009","46009","Bon Homme County","SD","46","009","H1"
"84046011","46011","Brookings County","SD","46","011","H1"
"84046013","46013","Brown County","SD","46","013","H1"
"84046015","46015","Brule County","SD","46","015","H1"
"84046017","46017","Buffalo County","SD","46","017","H1"
"84046019","46019","Butte County","SD","46","019","H1"
"84046021","46021","Campbell County","SD","46","021","H1"
"84046023","46023","Charles Mix County","SD","46","023","H1"
"84046025","46025","Clark County","SD","46","025","H1"
"84046027","46027","Clay County","SD","46","027","H1"
"84046029","46029","Codington County","SD","46","029","H1"
"84046031","46031","Corson County","SD","46","031","H1"
"84046033","46033","Custer County","SD","46","033","H1"
"84046035","46035","Davison County","SD","46","035","H1"
"84046037","46037","Day County","SD","46","037","H1"
"84046039","46039","Deuel County","SD","46","039","H1"
"84046041","46041","Dewey County","SD","46","041","H1"
"84046043","46043","Douglas County","SD","46","043","H1"
"84046045","46045","Edmunds County","SD","46","045","H1"
"84046047","46047","Fall River County","SD","46","047","H1"
"84046049","46049","Faulk County","SD","46","049","H1"
"84046051","46051","Grant County","SD","46","051","H1"
"84046053","46053","Gregory County","SD","46","053","H1"
"84046055","46055","Haakon County","SD","46","055","H1"
"84046057","46057","Hamlin County","SD","46","057","H1"
"84046059","46059","Hand County","SD","46","059","H1"
"84046061","46061","Hanson County","SD","46","061","H1"
"84046063","46063","Harding County","SD","46","063","H1"
"84046065","46065","Hughes County","SD","46","065","H1"
"84046067","46067","Hutchinson County","SD","46","067","H1"
"84046069","46069","Hyde County","SD","46","069","H1"
"84046071","46071","Jackson County","SD","46","071","H1"
"84046073","46073","Jerauld County","SD","46","073","H1"
"84046075","46075","Jones County","SD","46","075","H1"
"84046077","46077","Kingsbury County","SD","46","077","H1"
"84046079","46079","Lake County","SD","46","079","H1"
"84046081","46081","Lawrence County","SD","46","081","H1"
"84046083","46083","Lincoln County","SD","46","083","H1"
"84046085","46085","Lyman County","SD","46","085","H1"
"84046087","46087","McCook County","SD","46","087","H1"
"84046089","46089","McPherson County","SD","46","089","H1"
"84046091","46091","Marshall County","SD","46","091","H1"
"84046093","46093","Meade County","SD","46","093","H1"
"84046095","46095","Mellette County","SD","46","095","H1"
"84046097","46097","Miner County","SD","46","097","H1"
"84046099","46099","Minnehaha County","SD","46","099","H1"
"84046101","46101","Moody County","SD","46","101","H1"
"84046102","46102","Oglala Lakota County","SD","46","102","H1"
"84046103","46103","Pennington County","SD","46","103","H1"
"84046105","46105","Perkins County","SD","46","105","H1"
"84046107","46107","Potter County","SD","46","107","H1"
"84046109","46109","Roberts County","SD","46","109","H1"
"84046111","46111","Sanborn County","SD","46","111","H1"
"84046115","46115","Spink County","SD","46","115","H1"
"84046117","46117","Stanley County","SD","46","117","H1"
"84046119","46119","Sully County","SD","46","119","H1"
"84046121","46121","Todd County","SD","46","121","H1"
"84046123","46123","Tripp County","SD","46","123","H1"
"84046125","46125","Turner County","SD","46","125","H1"
"84046127","46127","Union County","SD","46","127","H1"
"84046129","46129","Walworth County","SD","46","129","H1"
"84046135","46135","Yankton County","SD","46","135","H1"
"84046137","46137","Ziebach County","SD","46","137","H1"
