"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84047001","47001","Anderson County","TN","47","001","H1"
"84047003","47003","Bedford County","TN","47","003","H1"
"84047005","47005","Benton County","TN","47","005","H1"
"84047007","47007","Bledsoe County","TN","47","007","H1"
"84047009","47009","Blount County","TN","47","009","H1"
"84047011","47011","Bradley County","TN","47","011","H1"
"84047013","47013","Campbell County","TN","47","013","H1"
"84047015","47015","Cannon County","TN","47","015","H1"
"84047017","47017","Carroll County","TN","47","017","H1"
"84047019","47019","Carter County","TN","47","019","H1"
"84047021","47021","Cheatham County","TN","47","021","H1"
"84047023","47023","Chester County","TN","47","023","H1"
"84047025","47025","Claiborne County","TN","47","025","H1"
"84047027","47027","Clay County","TN","47","027","H1"
"84047029","47029","Cocke County","TN","47","029","H1"
"84047031","47031","Coffee County","TN","47","031","H1"
"84047033","47033","Crockett County","TN","47","033","H1"
"84047035","47035","Cumberland County","TN","47","035","H1"
"84047037","47037","Davidson County","TN","47","037","H6"
"84047039","47039","Decatur County","TN","47","039","H1"
"84047041","47041","DeKalb County","TN","47","041","H1"
"84047043","47043","Dickson County","TN","47","043","H1"
"84047045","47045","Dyer County","TN","47","045","H1"
"84047047","47047","Fayette County","TN","47","047","H1"
"84047049","47049","Fentress County","TN","47","049","H1"
"84047051","47051","Franklin County","TN","47","051","H1"
"84047053","47053","Gibson County","TN","47","053","H1"
"84047055","47055","Giles County","TN","47","055","H1"
"84047057","47057","Grainger County","TN","47","057","H1"
"84047059","47059","Greene County","TN","47","059","H1"
"84047061","47061","Grundy County","TN","47","061","H1"
"84047063","47063","Hamblen County","TN","47","063","H1"
"84047065","47065","Hamilton County","TN","47","065","H1"
"84047067","47067","Hancock County","TN","47","067","H1"
"84047069","47069","Hardeman County","TN","47","069","H1"
"84047071","47071","Hardin County","TN","47","071","H1"
"84047073","47073","Hawkins County","TN","47","073","H1"
"84047075","47075","Haywood County","TN","47","075","H1"
"84047077","47077","Henderson County","TN","47","077","H1"
"84047079","47079","Henry County","TN","47","079","H1"
"84047081","47081","Hickman County","TN","47","081","H1"
"84047083","47083","Houston County","TN","47","083","H1"
"84047085","47085","Humphreys County","TN","47","085","H1"
"84047087","47087","Jackson County","TN","47","087","H1"
"84047089","47089","Jefferson County","TN","47","089","H1"
"84047091","47091","Johnson County","TN","47","091","H1"
"84047093","47093","Knox County","TN","47","093","H1"
"84047095","47095","Lake County","TN","47","095","H1"
"84047097","47097","Lauderdale County","TN","47","097","H1"
"84047099","47099","Lawrence County","TN","47","099","H1"
"84047101","47101","Lewis County","TN","47","101","H1"
"84047103","47103","Lincoln County","TN","47","103","H1"
"84047105","47105","Loudon County","TN","47","105","H1"
"84047107","47107","McMinn County","TN","47","107","H1"
"84047109","47109","McNairy County","TN","47","109","H1"
"84047111","47111","Macon County","TN","47","111","H1"
"84047113","47113","Madison County","TN","47","113","H1"
"84047115","47115","Marion County","TN","47","115","H1"
"84047117","47117","Marshall County","TN","47","117","H1"
"84047119","47119","Maury County","TN","47","119","H1"
"84047121","47121","Meigs County","TN","47","121","H1"
"84047123","47123","Monroe County","TN","47","123","H1"
"84047125","47125","Montgomery County","TN","47","125","H1"
"84047127","47127","Moore County","TN","47","127","H6"
"84047129","47129","Morgan County","TN","47","129","H1"
"84047131","47131","Obion County","TN","47","131","H1"
"84047133","47133","Overton County","TN","47","133","H1"
"84047135","47135","Perry County","TN","47","135","H1"
"84047137","47137","Pickett County","TN","47","137","H1"
"84047139","47139","Polk County","TN","47","139","H1"
"84047141","47141","Putnam County","TN","47","141","H1"
"84047143","47143","Rhea County","TN","47","143","H1"
"84047145","47145","Roane County","TN","47","145","H1"
"84047147","47147","Robertson County","TN","47","147","H1"
"84047149","47149","Rutherford County","TN","47","149","H1"
"84047151","47151","Scott County","TN","47","151","H1"
"84047153","47153","Sequatchie County","TN","47","153","H1"
"84047155","47155","Sevier County","TN","47","155","H1"
"84047157","47157","Shelby County","TN","47","157","H1"
"84047159","47159","Smith County","TN","47","159","H1"
"84047161","47161","Stewart County","TN","47","161","H1"
"84047163","47163","Sullivan County","TN","47","163","H1"
"84047165","47165","Sumner County","TN","47","165","H1"
"84047167","47167","Tipton County","TN","47","167","H1"
"84047169","47169","Trousdale County","TN","47","169","H6"
"84047171","47171","Unicoi County","TN","47","171","H1"
"84047173","47173","Union County","TN","47","173","H1"
"84047175","47175","Van Buren County","TN","47","175","H1"
"84047177","47177","Warren County","TN","47","177","H1"
"84047179","47179","Washington County","TN","47","179","H1"
"84047181","47181","Wayne County","TN","47","181","H1"
"84047183","47183","Weakley County","TN","47","183","H1"
"84047185","47185","White County","TN","47","185","H1"
"84047187","47187","Williamson County","TN","47","187","H1"
"84047189","47189","Wilson County","TN","47","189","H1"
