"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84048001","48001","Anderson County","TX","48","001","H1"
"84048003","48003","Andrews County","TX","48","003","H1"
"84048005","48005","Angelina County","TX","48","005","H1"
"84048007","48007","Aransas County","TX","48","007","H1"
"84048009","48009","Archer County","TX","48","009","H1"
"84048011","48011","Armstrong County","TX","48","011","H1"
"84048013","48013","Atascosa County","TX","48","013","H1"
"84048015","48015","Austin County","TX","48","015","H1"
"84048017","48017","Bailey County","TX","48","017","H1"
"84048019","48019","Bandera County","TX","48","019","H1"
"84048021","48021","Bastrop County","TX","48","021","H1"
"84048023","48023","Baylor County","TX","48","023","H1"
"84048025","48025","Bee County","TX","48","025","H1"
"84048027","48027","Bell County","TX","48","027","H1"
"84048029","48029","Bexar County","TX","48","029","H1"
"84048031","48031","Blanco County","TX","48","031","H1"
"84048033","48033","Borden County","TX","48","033","H1"
"84048035","48035","Bosque County","TX","48","035","H1"
"84048037","48037","Bowie County","TX","48","037","H1"
"84048039","48039","Brazoria County","TX","48","039","H1"
"84048041","48041","Brazos County","TX","48","041","H1"
"84048043","48043","Brewster County","TX","48","043","H1"
"84048045","48045","Briscoe County","TX","48","045","H1"
"84048047","48047","Brooks County","TX","48","047","H1"
"84048049","48049","Brown County","TX","48","049","H1"
"84048051","48051","Burleson County","TX","48","051","H1"
"84048053","48053","Burnet County","TX","48","053","H1"
"84048055","48055","Caldwell County","TX","48","055","H1"
"84048057","48057","Calhoun County","TX","48","057","H1"
"84048059","48059","Callahan County","TX","48","059","H1"
"84048061","48061","Cameron County","TX","48","061","H1"
"84048063","48063","Camp County","TX","48","063","H1"
"84048065","48065","Carson County","TX","48","065","H1"
"84048067","48067","Cass County","TX","48","067","H1"
"84048069","48069","Castro County","TX","48","069","H1"
"84048071","48071","Chambers County","TX","48","071","H1"
"84048073","48073","Cherokee County","TX","48","073","H1"
"84048075","48075","Childress County","TX","48","075","H1"
"84048077","48077","Clay County","TX","48","077","H1"
"84048079","48079","Cochran County","TX","48","079","H1"
"84048081","48081","Coke County","TX","48","081","H1"
"84048083","48083","Coleman County","TX","48","083","H1"
"84048085","48085","Collin County","TX","48","085","H1"
"84048087","48087","Collingsworth County","TX","48","087","H1"
"84048089","48089","Colorado County","TX","48","089","H1"
"84048091","48091","Comal County","TX","48","091","H1"
"84048093","48093","Comanche County","TX","48","093","H1"
"84048095","48095","Concho County","TX","48","095","H1"
"84048097","48097","Cooke County","TX","48","097","H1"
"84048099","48099","Coryell County","TX","48","099","H1"
"84048101","48101","Cottle County","TX","48","101","H1"
"84048103","48103","Crane County","TX","48","103","H1"
"84048105","48105","Crockett County","TX","48","105","H1"
"84048107","48107","Crosby County","TX","48","107","H1"
"84048109","48109","Culberson County","TX","48","109","H1"
"84048111","48111","Dallam County","TX","48","111","H1"
"84048113","48113","Dallas County","TX","48","113","H1"
"84048115","48115","Dawson County","TX","48","115","H1"
"84048117","48117","Deaf Smith County","TX","48","117","H1"
"84048119","48119","Delta County","TX","48","119","H1"
"84048121","48121","Denton County","TX","48","121","H1"
"84048123","48123","DeWitt County","TX","48","123","H1"
"84048125","48125","Dickens County","TX","48","125","H1"
"84048127","48127","Dimmit County","TX","48","127","H1"
"84048129","48129","Donley County","TX","48","129","H1"
"84048131","48131","Duval County","TX","48","131","H1"
"84048133","48133","Eastland County","TX","48","133","H1"
"84048135","48135","Ector County","TX","48","135","H1"
"84048137","48137","Edwards County","TX","48","137","H1"
"84048139","48139","Ellis County","TX","48","139","H1"
"84048141","48141","El Paso County","TX","48","141","H1"
"84048143","48143","Erath County","TX","48","143","H1"
"84048145","48145","Falls County","TX","48","145","H1"
"84048147","48147","Fannin County","TX","48","147","H1"
"84048149","48149","Fayette County","TX","48","149","H1"
"84048151","48151","Fisher County","TX","48","151","H1"
"84048153","48153","Floyd County","TX","48","153","H1"
"84048155","48155","Foard County","TX","48","155","H1"
"84048157","48157","Fort Bend County","TX","48","157","H1"
"84048159","48159","Franklin County","TX","48","159","H1"
"84048161","48161","Freestone County","TX","48","161","H1"
"84048163","48163","Frio County","TX","48","163","H1"
"84048165","48165","Gaines County","TX","48","165","H1"
"84048167","48167","Galveston County","TX","48","167","H1"
"84048169","48169","Garza County","TX","48","169","H1"
"84048171","48171","Gillespie County","TX","48","171","H1"
"84048173","48173","Glasscock County","TX","48","173","H1"
"84048175","48175","Goliad County","TX","48","175","H1"
"84048177","48177","Gonzales County","TX","48","177","H1"
"84048179","48179","Gray County","TX","48","179","H1"
"84048181","48181","Grayson County","TX","48","181","H1"
"84048183","48183","Gregg County","TX","48","183","H1"
"84048185","48185","Grimes County","TX","48","185","H1"
"84048187","48187","Guadalupe County","TX","48","187","H1"
"84048189","48189","Hale County","TX","48","189","H1"
"84048191","48191","Hall County","TX","48","191","H1"
"84048193","48193","Hamilton County","TX","48","193","H1"
"84048195","48195","Hansford County","TX","48","195","H1"
"84048197","48197","Hardeman County","TX","48","197","H1"
"84048199","48199","Hardin County","TX","48","199","H1"
"84048201","48201","Harris County","TX","48","201","H1"
"84048203","48203","Harrison County","TX","48","203","H1"
"84048205","48205","Hartley County","TX","48","205","H1"
"84048207","48207","Haskell County","TX","48","207","H1"
"84048209","48209","Hays County","TX","48","209","H1"
"84048211","48211","Hemphill County","TX","48","211","H1"
"84048213","48213","Henderson County","TX","48","213","H1"
"84048215","48215","Hidalgo County","TX","48","215","H1"
"84048217","48217","Hill County","TX","48","217","H1"
"84048219","48219","Hockley County","TX","48","219","H1"
"84048221","48221","Hood County","TX","48","221","H1"
"84048223","48223","Hopkins County","TX","48","223","H1"
"84048225","48225","Houston County","TX","48","225","H1"
"84048227","48227","Howard County","TX","48","227","H1"
"84048229","48229","Hudspeth County","TX","48","229","H1"
"84048231","48231","Hunt County","TX","48","231","H1"
"84048233","48233","Hutchinson County","TX","48","233","H1"
"84048235","48235","Irion County","TX","48","235","H1"
"84048237","48237","Jack County","TX","48","237","H1"
"84048239","48239","Jackson County","TX","48","239","H1"
"84048241","48241","Jasper County","TX","48","241","H1"
"84048243","48243","Jeff Davis County","TX","48","243","H1"
"84048245","48245","Jefferson County","TX","48","245","H1"
"84048247","48247","Jim Hogg County","TX","48","247","H1"
"84048249","48249","Jim Wells County","TX","48","249","H1"
"84048251","48251","Johnson County","TX","48","251","H1"
"84048253","48253","Jones County","TX","48","253","H1"
"84048255","48255","Karnes County","TX","48","255","H1"
"84048257","48257","Kaufman County","TX","48","257","H1"
"84048259","48259","Kendall County","TX","48","259","H1"
"84048261","48261","Kenedy County","TX","48","261","H1"
"84048263","48263","Kent County","TX","48","263","H1"
"84048265","48265","Kerr County","TX","48","265","H1"
"84048267","48267","Kimble County","TX","48","267","H1"
"84048269","48269","King County","TX","48","269","H1"
"84048271","48271","Kinney County","TX","48","271","H1"
"84048273","48273","Kleberg County","TX","48","273","H1"
"84048275","48275","Knox County","TX","48","275","H1"
"84048277","48277","Lamar County","TX","48","277","H1"
"84048279","48279","Lamb County","TX","48","279","H1"
"84048281","48281","Lampasas County","TX","48","281","H1"
"84048283","48283","La Salle County","TX","48","283","H1"
"84048285","48285","Lavaca County","TX","48","285","H1"
"84048287","48287","Lee County","TX","48","287","H1"
"84048289","48289","Leon County","TX","48","289","H1"
"84048291","48291","Liberty County","TX","48","291","H1"
"84048293","48293","Limestone County","TX","48","293","H1"
"84048295","48295","Lipscomb County","TX","48","295","H1"
"84048297","48297","Live Oak County","TX","48","297","H1"
"84048299","48299","Llano County","TX","48","299","H1"
"84048301","48301","Loving County","TX","48","301","H1"
"84048303","48303","Lubbock County","TX","48","303","H1"
"84048305","48305","Lynn County","TX","48","305","H1"
"84048307","48307","McCulloch County","TX","48","307","H1"
"84048309","48309","McLennan County","TX","48","309","H1"
"84048311","48311","McMullen County","TX","48","311","H1"
"84048313","48313","Madison County","TX","48","313","H1"
"84048315","48315","Marion County","TX","48","315","H1"
"84048317","48317","Martin County","TX","48","317","H1"
"84048319","48319","Mason County","TX","48","319","H1"
"84048321","48321","Matagorda County","TX","48","321","H1"
"84048323","48323","Maverick County","TX","48","323","H1"
"84048325","48325","Medina County","TX","48","325","H1"
"84048327","48327","Menard County","TX","48","327","H1"
"84048329","48329","Midland County","TX","48","329","H1"
"84048331","48331","Milam County","TX","48","331","H1"
"84048333","48333","Mills County","TX","48","333","H1"
"84048335","48335","Mitchell County","TX","48","335","H1"
"84048337","48337","Montague County","TX","48","337","H1"
"84048339","48339","Montgomery County","TX","48","339","H1"
"84048341","48341","Moore County","TX","48","341","H1"
"84048343","48343","Morris County","TX","48","343","H1"
"84048345","48345","Motley County","TX","48","345","H1"
"84048347","48347","Nacogdoches County","TX","48","347","H1"
"84048349","48349","Navarro County","TX","48","349","H1"
"84048351","48351","Newton County","TX","48","351","H1"
"84048353","48353","Nolan County","TX","48","353","H1"
"84048355","48355","Nueces County","TX","48","355","H1"
"84048357","48357","Ochiltree County","TX","48","357","H1"
"84048359","48359","Oldham County","TX","48","359","H1"
