"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84049001","49001","Beaver County","UT","49","001","H1"
"84049003","49003","Box Elder County","UT","49","003","H1"
"84049005","49005","Cache County","UT","49","005","H1"
"84049007","49007","Carbon County","UT","49","007","H1"
"84049009","49009","Daggett County","UT","49","009","H1"
"84049011","49011","Davis County","UT","49","011","H1"
"84049013","49013","Duchesne County","UT","49","013","H1"
"84049015","49015","Emery County","UT","49","015","H1"
"84049017","49017","Garfield County","UT","49","017","H1"
"84049019","49019","Grand County","UT","49","019","H1"
"84049021","49021","Iron County","UT","49","021","H1"
"84049023","49023","Juab County","UT","49","023","H1"
"84049025","49025","Kane County","UT","49","025","H1"
"84049027","49027","Millard County","UT","49","027","H1"
"84049029","49029","Morgan County","UT","49","029","H1"
"84049031","49031","Piute County","UT","49","031","H1"
"84049033","49033","Rich County","UT","49","033","H1"
"84049035","49035","Salt Lake County","UT","49","035","H1"
"84049037","49037","San Juan County","UT","49","037","H1"
"84049039","49039","Sanpete County","UT","49","039","H1"
"84049041","49041","Sevier County","UT","49","041","H1"
"84049043","49043","Summit County","UT","49","043","H1"
"84049045","49045","Tooele County","UT","49","045","H1"
"84049047","49047","Uintah County","UT","49","047","H1"
"84049049","49049","Utah County","UT","49","049","H1"
"84049051","49051","Wasatch County","UT","49","051","H1"
"84049053","49053","Washington County","UT","49","053","H1"
"84049055","49055","Wayne County","UT","49","055","H1"
"84049057","49057","Weber County","UT","49","057","H1"
