"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84050001","50001","Addison County","VT","50","001","H1"
"84050003","50003","Bennington County","VT","50","003","H1"
"84050005","50005","Caledonia County","VT","50","005","H1"
"84050007","50007","Chittenden County","VT","50","007","H1"
"84050009","50009","Essex County","VT","50","009","H1"
"84050011","50011","Franklin County","VT","50","011","H1"
"84050013","50013","Grand Isle County","VT","50","013","H1"
"84050015","50015","Lamoille County","VT","50","015","H1"
"84050017","50017","Orange County","VT","50","017","H1"
"84050019","50019","Orleans County","VT","50","019","H1"
"84050021","50021","Rutland County","VT","50","021","H1"
"84050023","50023","Washington County","VT","50","023","H1"
"84050025","50025","Windham County","VT","50","025","H1"
"84050027","50027","Windsor County","VT","50","027","H1"
