"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84051001","51001","Accomack County","VA","51","001","H1"
"84051003","51003","Albemarle County","VA","51","003","H1"
"84051005","51005","Alleghany County","VA","51","005","H1"
"84051007","51007","Amelia County","VA","51","007","H1"
"84051009","51009","Amherst County","VA","51","009","H1"
"84051011","51011","Appomattox County","VA","51","011","H1"
"84051013","51013","Arlington County","VA","51","013","H1"
"84051015","51015","Augusta County","VA","51","015","H1"
"84051017","51017","Bath County","VA","51","017","H1"
"84051019","51019","Bedford County","VA","51","019","H1"
"84051021","51021","Bland County","VA","51","021","H1"
"84051023","51023","Botetourt County","VA","51","023","H1"
"84051025","51025","Brunswick County","VA","51","025","H1"
"84051027","51027","Buchanan County","VA","51","027","H1"
"84051029","51029","Buckingham County","VA","51","029","H1"
"84051031","51031","Campbell County","VA","51","031","H1"
"84051033","51033","Caroline County","VA","51","033","H1"
"84051035","51035","Carroll County","VA","51","035","H1"
"84051036","51036","Charles City County","VA","51","036","H1"
"84051037","51037","Charlotte County","VA","51","037","H1"
"84051041","51041","Chesterfield County","VA","51","041","H1"
"84051043","51043","Clarke County","VA","51","043","H1"
"84051045","51045","Craig County","VA","51","045","H1"
"84051047","51047","Culpeper County","VA","51","047","H1"
"84051049","51049","Cumberland County","VA","51","049","H1"
"84051051","51051","Dickenson County","VA","51","051","H1"
"84051053","51053","Dinwiddie County","VA","51","053","H1"
"84051057","51057","Essex County","VA","51","057","H1"
"84051059","51059","Fairfax County","VA","51","059","H1"
"84051061","51061","Fauquier County","VA","51","061","H1"
"84051063","51063","Floyd County","VA","51","063","H1"
"84051065","51065","Fluvanna County","VA","51","065","H1"
"84051067","51067","Franklin County","VA","51","067","H1"
"84051069","51069","Frederick County","VA","51","069","H1"
"84051071","51071","Giles County","VA","51","071","H1"
"84051073","51073","Gloucester County","VA","51","073","H1"
"84051075","51075","Goochland County","VA","51","075","H1"
"84051077","51077","Grayson County","VA","51","077","H1"
"84051079","51079","Greene County","VA","51","079","H1"
"84051081","51081","Greensville County","VA","51","081","H1"
"84051083","51083","Halifax County","VA","51","083","H1"
"84051085","51085","Hanover County","VA","51","085","H1"
"84051087","51087","Henrico County","VA","51","087","H1"
"84051089","51089","Henry County","VA","51","089","H1"
"84051091","51091","Highland County","VA","51","091","H1"
"84051093","51093","Isle of Wight County","VA","51","093","H1"
"84051095","51095","James City County","VA","51","095","H1"
"84051097","51097","King and Queen County","VA","51","097","H1"
"84051099","51099","King George County","VA","51","099","H1"
"84051101","51101","King William County","VA","51","101","H1"
"84051103","51103","Lancaster County","VA","51","103","H1"
"84051105","51105","Lee County","VA","51","105","H1"
"84051107","51107","Loudoun County","VA","51","107","H1"
"84051109","51109","Louisa County","VA","51","109","H1"
"84051111","51111","Lunenburg County","VA","51","111","H1"
"84051113","51113","Madison County","VA","51","113","H1"
"84051115","51115","Mathews County","VA","51","115","H1"
"84051117","51117","Mecklenburg County","VA","51","117","H1"
"84051119","51119","Middlesex County","VA","51","119","H1"
"84051121","51121","Montgomery County","VA","51","121","H1"
"84051125","51125","Nelson County","VA","51","125","H1"
"84051127","51127","New Kent County","VA","51","127","H1"
"84051131","51131","Northampton County","VA","51","131","H1"
"84051133","51133","Northumberland County","VA","51","133","H1"
"84051135","51135","Nottoway County","VA","51","135","H1"
"84051137","51137","Orange County","VA","51","137","H1"
"84051139","51139","Page County","VA","51","139","H1"
"84051141","51141","Patrick County","VA","51","141","H1"
"84051143","51143","Pittsylvania County","VA","51","143","H1"
"84051145","51145","Powhatan County","VA","51","145","H1"
"84051147","51147","Prince Edward County","VA","51","147","H1"
"84051149","51149","Prince George County","VA","51","149","H1"
"84051153","51153","Prince William County","VA","51","153","H1"
"84051155","51155","Pulaski County","VA","51","155","H1"
"84051157","51157","Rappahannock County","VA","51","157","H1"
"84051159","51159","Richmond County","VA","51","159","H1"
"84051161","51161","Roanoke County","VA","51","161","H1"
"84051163","51163","Rockbridge County","VA","51","163","H1"
"84051165","51165","Rockingham County","VA","51","165","H1"
"84051167","51167","Russell County","VA","51","167","H1"
"84051169","51169","Scott County","VA","51","169","H1"
"84051171","51171","Shenandoah County","VA","51","171","H1"
"84051173","51173","Smyth County","VA","51","173","H1"
"84051175","51175","Southampton County","VA","51","175","H1"
"84051177","51177","Spotsylvania County","VA","51","177","H1"
"84051179","51179","Stafford County","VA","51","179","H1"
"84051181","51181","Surry County","VA","51","181","H1"
"84051183","51183","Sussex County","VA","51","183","H1"
"84051185","51185","Tazewell County","VA","51","185","H1"
"84051187","51187","Warren County","VA","51","187","H1"
"84051191","51191","Washington County","VA","51","191","H1"
"84051193","51193","Westmoreland County","VA","51","193","H1"
"84051195","51195","Wise County","VA","51","195","H1"
"84051197","51197","Wythe County","VA","51","197","H1"
"84051199","51199","York County","VA","51","199","H1"
"84051510","51510","Alexandria city","VA","51","510","C7"
"84051520","51520","Bristol city","VA","51","520","C7"
"84051530","51530","Buena Vista city","VA","51","530","C7"
"84051540","51540","Charlottesville city","VA","51","540","C7"
"84051550","51550","Chesapeake city","VA","51","550","C7"
"84051570","51570","Colonial Heights city","VA","51","570","C7"
"84051580","51580","Covington city","VA","51","580","C7"
"84051590","51590","Danville city","VA","51","590","C7"
"84051595","51595","Emporia city","VA","51","595","C7"
"84051600","51600","Fairfax city","VA","51","600","C7"
"84051610","51610","Falls Church city","VA","51","610","C7"
"84051620","51620","Franklin city","VA","51","620","C7"
"84051630","51630","Fredericksburg city","VA","51","630","C7"
"84051640","51640","Galax city","VA","51","640","C7"
"84051650","51650","Hampton city","VA","51","650","C7"
"84051660","51660","Harrisonburg city","VA","51","660","C7"
"84051670","51670","Hopewell city","VA","51","670","C7"
"84051678","51678","Lexington city","VA","51","678","C7"
"84051680","51680","Lynchburg city","VA","51","680","C7"
"84051683","51683","Manassas city","VA","51","683","C7"
"84051685","51685","Manassas Park city","VA","51","685","C7"
"84051690","51690","Martinsville city","VA","51","690","C7"
"84051700","51700","Newport News city","VA","51","700","C7"
"84051710","51710","Norfolk city","VA","51","710","C7"
"84051720","51720","Norton city","VA","51","720","C7"
"84051730","51730","Petersburg city","VA","51","730","C7"
"84051735","51735","Poquoson city","VA","51","735","C7"
"84051740","51740","Portsmouth city","VA","51","740","C7"
"84051750","51750","Radford city","VA","51","750","C7"
"84051760","51760","Richmond city","VA","51","760","C7"
"84051770","51770","Roanoke city","VA","51","770","C7"
"84051775","51775","Salem city","VA","51","775","C7"
"84051790","51790","Staunton city","VA","51","790","C7"
"84051800","51800","Suffolk city","VA","51","800","C7"
"84051810","51810","Virginia Beach city","VA","51","810","C7"
"84051820","51820","Waynesboro city","VA","51","820","C7"
"84051830","51830","Williamsburg city","VA","51","830","C7"
"84051840","51840","Winchester city","VA","51","840","C7"
