"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84053001","53001","Adams County","WA","53","001","H1"
"84053003","53003","Asotin County","WA","53","003","H1"
"84053005","53005","Benton County","WA","53","005","H1"
"84053007","53007","Chelan County","WA","53","007","H1"
"84053009","53009","Clallam County","WA","53","009","H1"
"84053011","53011","Clark County","WA","53","011","H1"
"84053013","53013","Columbia County","WA","53","013","H1"
"84053015","53015","Cowlitz County","WA","53","015","H1"
"84053017","53017","Douglas County","WA","53","017","H1"
"84053019","53019","Ferry County","WA","53","019","H1"
"84053021","53021","Franklin County","WA","53","021","H1"
"84053023","53023","Garfield County","WA","53","023","H1"
"84053025","53025","Grant County","WA","53","025","H1"
"84053027","53027","Grays Harbor County","WA","53","027","H1"
"84053029","53029","Island County","WA","53","029","H1"
"84053031","53031","Jefferson County","WA","53","031","H1"
"84053033","53033","King County","WA","53","033","H1"
"84053035","53035","Kitsap County","WA","53","035","H1"
"84053037","53037","Kittitas County","WA","53","037","H1"
"84053039","53039","Klickitat County","WA","53","039","H1"
"84053041","53041","Lewis County","WA","53","041","H1"
"84053043","53043","Lincoln County","WA","53","043","H1"
"84053045","53045","Mason County","WA","53","045","H1"
"84053047","53047","Okanogan County","WA","53","047","H1"
"84053049","53049","Pacific County","WA","53","049","H1"
"84053051","53051","Pend Oreille County","WA","53","051","H1"
"84053053","53053","Pierce County","WA","53","053","H1"
"84053055","53055","San Juan County","WA","53","055","H1"
"84053057","53057","Skagit County","WA","53","057","H1"
"84053059","53059","Skamania County","WA","53","059","H1"
"84053061","53061","Snohomish County","WA","53","061","H1"
"84053063","53063","Spokane County","WA","53","063","H1"
"84053065","53065","Stevens County","WA","53","065","H1"
"84053067","53067","Thurston County","WA","53","067","H1"
"84053069","53069","Wahkiakum County","WA","53","069","H1"
"84053071","53071","Walla Walla County","WA","53","071","H1"
"84053073","53073","Whatcom County","WA","53","073","H1"
"84053075","53075","Whitman County","WA","53","075","H1"
"84053077","53077","Yakima County","WA","53","077","H1"
