"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84054001","54001","Barbour County","WV","54","001","H1"
"84054003","54003","Berkeley County","WV","54","003","H1"
"84054005","54005","Boone County","WV","54","005","H1"
"84054007","54007","Braxton County","WV","54","007","H1"
"84054009","54009","Brooke County","WV","54","009","H1"
"84054011","54011","Cabell County","WV","54","011","H1"
"84054013","54013","Calhoun County","WV","54","013","H1"
"84054015","54015","Clay County","WV","54","015","H1"
"84054017","54017","Doddridge County","WV","54","017","H1"
"84054019","54019","Fayette County","WV","54","019","H1"
"84054021","54021","Gilmer County","WV","54","021","H1"
"84054023","54023","Grant County","WV","54","023","H1"
"84054025","54025","Greenbrier County","WV","54","025","H1"
"84054027","54027","Hampshire County","WV","54","027","H1"
"84054029","54029","Hancock County","WV","54","029","H1"
"84054031","54031","Hardy County","WV","54","031","H1"
"84054033","54033","Harrison County","WV","54","033","H1"
"84054035","54035","Jackson County","WV","54","035","H1"
"84054037","54037","Jefferson County","WV","54","037","H1"
"84054039","54039","Kanawha County","WV","54","039","H1"
"84054041","54041","Lewis County","WV","54","041","H1"
"84054043","54043","Lincoln County","WV","54","043","H1"
"84054045","54045","Logan County","WV","54","045","H1"
"84054047","54047","McDowell County","WV","54","047","H1"
"84054049","54049","Marion County","WV","54","049","H1"
"84054051","54051","Marshall County","WV","54","051","H1"
"84054053","54053","Mason County","WV","54","053","H1"
"84054055","54055","Mercer County","WV","54","055","H1"
"84054057","54057","Mineral County","WV","54","057","H1"
"84054059","54059","Mingo County","WV","54","059","H1"
"84054061","54061","Monongalia County","WV","54","061","H1"
"84054063","54063","Monroe County","WV","54","063","H1"
"84054065","54065","Morgan County","WV","54","065","H1"
"84054067","54067","Nicholas County","WV","54","067","H1"
"84054069","54069","Ohio County","WV","54","069","H1"
"84054071","54071","Pendleton County","WV","54","071","H1"
"84054073","54073","Pleasants County","WV","54","073","H1"
"84054075","54075","Pocahontas County","WV","54","075","H1"
"84054077","54077","Preston County","WV","54","077","H1"
"84054079","54079","Putnam County","WV","54","079","H1"
"84054081","54081","Raleigh County","WV","54","081","H1"
"84054083","54083","Randolph County","WV","54","083","H1"
"84054085","54085","Ritchie County","WV","54","085","H1"
"84054087","54087","Roane County","WV","54","087","H1"
"84054089","54089","Summers County","WV","54","089","H1"
"84054091","54091","Taylor County","WV","54","091","H1"
"84054093","54093","Tucker County","WV","54","093","H1"
"84054095","54095","Tyler County","WV","54","095","H1"
"84054097","54097","Upshur County","WV","54","097","H1"
"84054099","54099","Wayne County","WV","54","099","H1"
"84054101","54101","Webster County","WV","54","101","H1"
"84054103","54103","Wetzel County","WV","54","103","H1"
"84054105","54105","Wirt County","WV","54","105","H1"
"84054107","54107","Wood County","WV","54","107","H1"
"84054109","54109","Wyoming County","WV","54","109","H1"
