"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84055001","55001","Adams County","WI","55","001","H1"
"84055003","55003","Ashland County","WI","55","003","H1"
"84055005","55005","Barron County","WI","55","005","H1"
"84055007","55007","Bayfield County","WI","55","007","H1"
"84055009","55009","Brown County","WI","55","009","H1"
"84055011","55011","Buffalo County","WI","55","011","H1"
"84055013","55013","Burnett County","WI","55","013","H1"
"84055015","55015","Calumet County","WI","55","015","H1"
"84055017","55017","Chippewa County","WI","55","017","H1"
"84055019","55019","Clark County","WI","55","019","H1"
"84055021","55021","Columbia County","WI","55","021","H1"
"84055023","55023","Crawford County","WI","55","023","H1"
"84055025","55025","Dane County","WI","55","025","H1"
"84055027","55027","Dodge County","WI","55","027","H1"
"84055029","55029","Door County","WI","55","029","H1"
"84055031","55031","Douglas County","WI","55","031","H1"
"84055033","55033","Dunn County","WI","55","033","H1"
"84055035","55035","Eau Claire County","WI","55","035","H1"
"84055037","55037","Florence County","WI","55","037","H1"
"84055039","55039","Fond du Lac County","WI","55","039","H1"
"84055041","55041","Forest County","WI","55","041","H1"
"84055043","55043","Grant County","WI","55","043","H1"
"84055045","55045","Green County","WI","55","045","H1"
"84055047","55047","Green Lake County","WI","55","047","H1"
"84055049","55049","Iowa County","WI","55","049","H1"
"84055051","55051","Iron County","WI","55","051","H1"
"84055053","55053","Jackson County","WI","55","053","H1"
"84055055","55055","Jefferson County","WI","55","055","H1"
"84055057","55057","Juneau County","WI","55","057","H1"
"84055059","55059","Kenosha County","WI","55","059","H1"
"84055061","55061","Kewaunee County","WI","55","061","H1"
"84055063","55063","La Crosse County","WI","55","063","H1"
"84055065","55065","Lafayette County","WI","55","065","H1"
"84055067","55067","Langlade County","WI","55","067","H1"
"84055069","55069","Lincoln County","WI","55","069","H1"
"84055071","55071","Manitowoc County","WI","55","071","H1"
"84055073","55073","Marathon County","WI","55","073","H1"
"84055075","55075","Marinette County","WI","55","075","H1"
"84055077","55077","Marquette County","WI","55","077","H1"
"84055078","55078","Menominee County","WI","55","078","H1"
"84055079","55079","Milwaukee County","WI","55","079","H1"
"84055081","55081","Monroe County","WI","55","081","H1"
"84055083","55083","Oconto County","WI","55","083","H1"
"84055085","55085","Oneida County","WI","55","085","H1"
"84055087","55087","Outagamie County","WI","55","087","H1"
"84055089","55089","Ozaukee County","WI","55","089","H1"
"84055091","55091","Pepin County","WI","55","091","H1"
"84055093","55093","Pierce County","WI","55","093","H1"
"84055095","55095","Polk County","WI","55","095","H1"
"84055097","55097","Portage County","WI","55","097","H1"
"84055099","55099","Price County","WI","55","099","H1"
"84055101","55101","Racine County","WI","55","101","H1"
"84055103","55103","Richland County","WI","55","103","H1"
"84055105","55105","Rock County","WI","55","105","H1"
"84055107","55107","Rusk County","WI","55","107","H1"
"84055109","55109","St. Croix County","WI","55","109","H1"
"84055111","55111","Sauk County","WI","55","111","H1"
"84055113","55113","Sawyer County","WI","55","113","H1"
"84055115","55115","Shawano County","WI","55","115","H1"
"84055117","55117","Sheboygan County","WI","55","117","H1"
"84055119","55119","Taylor County","WI","55","119","H1"
"84055121","55121","Trempealeau County","WI","55","121","H1"
"84055123","55123","Vernon County","WI","55","123","H1"
"84055125","55125","Vilas County","WI","55","125","H1"
"84055127","55127","Walworth County","WI","55","127","H1"
"84055129","55129","Washburn County","WI","55","129","H1"
"84055131","55131","Washington County","WI","55","131","H1"
"84055133","55133","Waukesha County","WI","55","133","H1"
"84055135","55135","Waupaca County","WI","55","135","H1"
"84055137","55137","Waushara County","WI","55","137","H1"
"84055139","55139","Winnebago County","WI","55","139","H1"
"84055141","55141","Wood County","WI","55","141","H1"
