"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84056001","56001","Albany County","WY","56","001","H1"
"84056003","56003","Big Horn County","WY","56","003","H1"
"84056005","56005","Campbell County","WY","56","005","H1"
"84056007","56007","Carbon County","WY","56","007","H1"
"84056009","56009","Converse County","WY","56","009","H1"
"84056011","56011","Crook County","WY","56","011","H1"
"84056013","56013","Fremont County","WY","56","013","H1"
"84056015","56015","Goshen County","WY","56","015","H1"
"84056017","56017","Hot Springs County","WY","56","017","H1"
"84056019","56019","Johnson County","WY","56","019","H1"
"84056021","56021","Laramie County","WY","56","021","H1"
"84056023","56023","Lincoln County","WY","56","023","H1"
"84056025","56025","Natrona County","WY","56","025","H1"
"84056027","56027","Niobrara County","WY","56","027","H1"
"84056029","56029","Park County","WY","56","029","H1"
"84056031","56031","Platte County","WY","56","031","H1"
"84056033","56033","Sheridan County","WY","56","033","H1"
"84056035","56035","Sublette County","WY","56","035","H1"
"84056037","56037","Sweetwater County","WY","56","037","H1"
"84056039","56039","Teton County","WY","56","039","H1"
"84056041","56041","Uinta County","WY","56","041","H1"
"84056043","56043","Washakie County","WY","56","043","H1"
"84056045","56045","Weston County","WY","56","045","H1"
