"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84001001","01001","Autauga County","AL","01","001","H1"
"84001003","01003","Baldwin County","AL","01","003","H1"
"84001005","01005","Barbour County","AL","01","005","H1"
"84001007","01007","Bibb County","AL","01","007","H1"
"84001009","01009","Blount County","AL","01","009","H1"
"84001011","01011","Bullock County","AL","01","011","H1"
"84001013","01013","Butler County","AL","01","013","H1"
"84001015","01015","Calhoun County","AL","01","015","H1"
"84001017","01017","Chambers County","AL","01","017","H1"
"84001019","01019","Cherokee County","AL","01","019","H1"
"84001021","01021","Chilton County","AL","01","021","H1"
"84001023","01023","Choctaw County","AL","01","023","H1"
"84001025","01025","Clarke County","AL","01","025","H1"
"84001027","01027","Clay County","AL","01","027","H1"
"84001029","01029","Cleburne County","AL","01","029","H1"
"84001031","01031","Coffee County","AL","01","031","H1"
"84001033","01033","Colbert County","AL","01","033","H1"
"84001035","01035","Conecuh County","AL","01","035","H1"
"84001037","01037","Coosa County","AL","01","037","H1"
"84001039","01039","Covington County","AL","01","039","H1"
"84001041","01041","Crenshaw County","AL","01","041","H1"
"84001043","01043","Cullman County","AL","01","043","H1"
"84001045","01045","Dale County","AL","01","045","H1"
"84001047","01047","Dallas County","AL","01","047","H1"
"84001049","01049","DeKalb County","AL","01","049","H1"
"84001051","01051","Elmore County","AL","01","051","H1"
"84001053","01053","Escambia County","AL","01","053","H1"
"84001055","01055","Etowah County","AL","01","055","H1"
"84001057","01057","Fayette County","AL","01","057","H1"
"84001059","01059","Franklin County","AL","01","059","H1"
"84001061","01061","Geneva County","AL","01","061","H1"
"84001063","01063","Greene County","AL","01","063","H1"
"84001065","01065","Hale County","AL","01","065","H1"
"84001067","01067","Henry County","AL","01","067","H1"
"84001069","01069","Houston County","AL","01","069","H1"
"84001071","01071","Jackson County","AL","01","071","H1"
"84001073","01073","Jefferson County","AL","01","073","H1"
"84001075","01075","Lamar County","AL","01","075","H1"
"84001077","01077","Lauderdale County","AL","01","077","H1"
"84001079","01079","Lawrence County","AL","01","079","H1"
"84001081","01081","Lee County","AL","01","081","H1"
"84001083","01083","Limestone County","AL","01","083","H1"
"84001085","01085","Lowndes County","AL","01","085","H1"
"84001087","01087","Macon County","AL","01","087","H1"
"84001089","01089","Madison County","AL","01","089","H1"
"84001091","01091","Marengo County","AL","01","091","H1"
"84001093","01093","Marion County","AL","01","093","H1"
"84001095","01095","Marshall County","AL","01","095","H1"
"84001097","01097","Mobile County","AL","01","097","H1"
"84001099","01099","Monroe County","AL","01","099","H1"
"84001101","01101","Montgomery County","AL","01","101","H1"
"84001103","01103","Morgan County","AL","01","103","H1"
"84001105","01105","Perry County","AL","01","105","H1"
"84001107","01107","Pickens County","AL","01","107","H1"
"84001109","01109","Pike County","AL","01","109","H1"
"84001111","01111","Randolph County","AL","01","111","H1"
"84001113","01113","Russell County","AL","01","113","H1"
"84001115","01115","St. Clair County","AL","01","115","H1"
"84001117","01117","Shelby County","AL","01","117","H1"
"84001119","01119","Sumter County","AL","01","119","H1"
"84001121","01121","Talladega County","AL","01","121","H1"
"84001123","01123","Tallapoosa County","AL","01","123","H1"
"84001125","01125","Tuscaloosa County","AL","01","125","H1"
"84001127","01127","Walker County","AL","01","127","H1"
"84001129","01129","Washington County","AL","01","129","H1"
"84001131","01131","Wilcox County","AL","01","131","H1"
"84001133","01133","Winston County","AL","01","133","H1"
"84002013","02013","Aleutians East Borough","AK","02","013","H1"
"84002016","02016","Aleutians West Census Area","AK","02","016","H5"
"84002020","02020","Anchorage Municipality","AK","02","020","H6"
"84002050","02050","Bethel Census Area","AK","02","050","H5"
"84002060","02060","Bristol Bay Borough","AK","02","060","H1"
"84002068","02068","Denali Borough","AK","02","068","H1"
"84002070","02070","Dillingham Census Area","AK","02","070","H5"
"84002090","02090","Fairbanks North Star Borough","AK","02","090","H1"
"84002100","02100","Haines Borough","AK","02","100","H1"
"84002105","02105","Hoonah-Angoon Census Area","AK","02","105","H5"
"84002110","02110","Juneau City and Borough","AK","02","110","H6"
"84002122","02122","Kenai Peninsula Borough","AK","02","122","H1"
"84002130","02130","Ketchikan Gateway Borough","AK","02","130","H1"
"84002150","02150","Kodiak Island Borough","AK","02","150","H1"
"84002158","02158","Kusilvak Census Area","AK","02","158","H5"
"84002164","02164","Lake and Peninsula Borough","AK","02","164","H1"
"84002170","02170","Matanuska-Susitna Borough","AK","02","170","H1"
"84002180","02180","Nome Census Area","AK","02","180","H5"
"84002185","02185","North Slope Borough","AK","02","185","H1"
"84002188","02188","Northwest Arctic Borough","AK","02","188","H1"
"84002195","02195","Petersburg Borough","AK","02","195","H1"
"84002198","02198","Prince of Wales-Hyder Census Area","AK","02","198","H5"
"84002220","02220","Sitka City and Borough","AK","02","220","H6"
"84002230","02230","Skagway Municipality","AK","02","230","H1"
"84002240","02240","Southeast Fairbanks Census Area","AK","02","240","H5"
"84002261","02261","Valdez-Cordova Census Area","AK","02","261","H5"
"84002275","02275","Wrangell City and Borough","AK","02","275","H1"
"84002282","02282","Yakutat City and Borough","AK","02","282","H1"
"84002290","02290","Yukon-Koyukuk Census Area","AK","02","290","H5"
"84004001","04001","Apache County","AZ","04","001","H1"
"84004003","04003","Cochise County","AZ","04","003","H1"
"84004005","04005","Coconino County","AZ","04","005","H1"
"84004007","04007","Gila County","AZ","04","007","H1"
"84004009","04009","Graham County","AZ","04","009","H1"
"84004011","04011","Greenlee County","AZ","04","011","H1"
"84004012","04012","La Paz County","AZ","04","012","H1"
"84004013","04013","Maricopa County","AZ","04","013","H1"
"84004015","04015","Mohave County","AZ","04","015","H1"
"84004017","04017","Navajo County","AZ","04","017","H1"
"84004019","04019","Pima County","AZ","04","019","H1"
"84004021","04021","Pinal County","AZ","04","021","H1"
"84004023","04023","Santa Cruz County","AZ","04","023","H1"
"84004025","04025","Yavapai County","AZ","04","025","H1"
"84004027","04027","Yuma County","AZ","04","027","H1"
"84005001","05001","Arkansas County","AR","05","001","H1"
"84005003","05003","Ashley County","AR","05","003","H1"
"84005005","05005","Baxter County","AR","05","005","H1"
"84005007","05007","Benton County","AR","05","007","H1"
"84005009","05009","Boone County","AR","05","009","H1"
"84005011","05011","Bradley County","AR","05","011","H1"
"84005013","05013","Calhoun County","AR","05","013","H1"
"84005015","05015","Carroll County","AR","05","015","H1"
"84005017","05017","Chicot County","AR","05","017","H1"
"84005019","05019","Clark County","AR","05","019","H1"
"84005021","05021","Clay County","AR","05","021","H1"
"84005023","05023","Cleburne County","AR","05","023","H1"
"84005025","05025","Cleveland County","AR","05","025","H1"
"84005027","05027","Columbia County","AR","05","027","H1"
"84005029","05029","Conway County","AR","05","029","H1"
"84005031","05031","Craighead County","AR","05","031","H1"
"84005033","05033","Crawford County","AR","05","033","H1"
"84005035","05035","Crittenden County","AR","05","035","H1"
"84005037","05037","Cross County","AR","05","037","H1"
"84005039","05039","Dallas County","AR","05","039","H1"
"84005041","05041","Desha County","AR","05","041","H1"
"84005043","05043","Drew County","AR","05","043","H1"
"84005045","05045","Faulkner County","AR","05","045","H1"
"84005047","05047","Franklin County","AR","05","047","H1"
"84005049","05049","Fulton County","AR","05","049","H1"
"84005051","05051","Garland County","AR","05","051","H1"
"84005053","05053","Grant County","AR","05","053","H1"
"84005055","05055","Greene County","AR","05","055","H1"
"84005057","05057","Hempstead County","AR","05","057","H1"
