FIPS Code,County,Bachmann,Gingrich,Huntsman,Paul,Perry,Romney,Santorum
1,Adair,26,44,1,42,47,43,66
3,Adams,9,24,0,74,14,32,47
5,Allamakee,18,82,0,157,28,155,77
7,Appanoose,25,71,1,77,90,87,174
9,Audubon,17,32,0,41,31,48,54
11,Benton,66,121,5,202,168,184,290
13,Black Hawk,262,596,29,870,259,835,783
15,Boone,104,160,4,276,170,230,400
17,Bremer,57,98,14,194,105,246,215
19,Buchanan,40,77,1,66,62,78,133
21,Buena Vista,26,128,3,169,110,124,154
23,Butler,41,71,4,99,87,92,157
25,Calhoun,31,54,2,75,71,69,131
27,Carroll,32,145,2,133,85,146,168
29,Cass,32,147,2,116,66,141,170
31,Cedar,34,84,4,188,67,165,167
33,Cerro Gordo,100,235,5,304,170,408,345
35,Cherokee,20,78,0,95,63,126,155
37,Chickasaw,14,53,3,142,74,85,72
39,Clarke,42,46,1,98,62,65,51
41,Clay,40,137,4,150,75,149,165
43,Clayton,28,72,1,205,81,116,122
45,Clinton,62,149,9,295,73,437,354
47,Crawford,22,84,0,72,64,93,101
49,Dallas,192,591,15,688,504,1417,840
51,Davis,25,35,0,79,39,18,100
53,Decatur,35,51,0,81,54,79,44
55,Delaware,0,0,0,0,0,0,0
57,Des Moines,79,187,6,260,121,308,388
59,Dickinson,17,132,4,100,132,187,161
61,Dubuque,28,255,15,659,175,779,601
63,Emmet,47,27,0,38,43,42,65
65,Fayette,58,134,4,133,80,241,174
67,Floyd,34,56,1,89,31,119,182
69,Franklin,32,80,0,106,53,78,125
71,Fremont,36,41,2,33,15,59,58
73,Greene,17,74,1,73,57,99,102
75,Grundy,45,82,0,99,100,129,172
77,Guthrie,40,70,1,112,106,108,140
79,Hamilton,51,138,6,164,73,144,184
81,Hancock,36,89,7,126,67,55,157
83,Hardin,46,96,4,156,98,168,258
85,Harrison,37,98,2,110,69,123,205
87,Henry,43,97,0,147,55,170,227
89,Howard,40,26,0,33,16,51,108
91,Humboldt,36,39,0,78,49,64,160
93,Ida,12,48,1,47,49,46,105
95,Iowa,58,81,1,151,46,159,197
97,Jackson,18,90,2,163,43,139,92
99,Jasper,122,171,8,300,162,285,576
101,Jefferson,32,88,7,408,48,101,156
103,Johnson,121,476,52,1445,247,1604,746
105,Jones,48,52,1,167,76,200,183
107,Keokuk,37,60,0,89,47,80,104
109,Kossuth,42,98,3,87,60,106,192
111,Lee,16,140,5,219,51,169,195
113,Linn,411,1066,64,2072,785,2520,1818
115,Louisa,16,73,0,87,41,67,87
117,Lucas,22,29,1,48,95,80,120
119,Lyon,23,42,1,57,52,36,329
121,Madison,54,144,5,221,154,170,223
123,Mahaska,138,170,2,241,209,159,494
125,Marion,117,159,5,326,333,228,567
127,Marshall,97,299,7,315,235,365,373
129,Mills,29,79,2,84,44,132,163
131,Mitchell,16,86,3,96,17,44,68
133,Monona,5,53,1,43,33,96,112
135,Monroe,16,46,1,43,47,28,84
137,Montgomery,13,39,0,52,56,95,106
139,Muscatine,49,171,12,255,129,361,243
141,O'Brien,29,57,3,105,73,56,265
143,Osceola,20,29,2,78,17,48,81
145,Page,41,104,5,94,50,129,157
147,Palo Alto,12,52,1,53,38,48,70
149,Plymouth,42,161,2,195,140,369,349
151,Pocahontas,21,48,0,85,74,55,109
153,Polk,900,2797,171,4948,2070,6240,4735
155,Pottawattamie,115,457,12,529,220,719,666
157,Poweshiek,42,113,8,197,77,116,155
159,Ringgold,5,35,1,23,28,26,62
161,Sac,25,69,1,87,32,105,134
163,Scott,166,834,55,1168,296,2005,1444
165,Shelby,85,39,0,108,46,63,153
167,Sioux,82,160,9,279,297,299,943
169,Story,139,542,51,1088,439,1098,833
171,Tama,55,91,1,126,102,134,148
173,Taylor,7,25,0,64,82,44,45
175,Union,54,42,4,78,105,75,98
177,Van Buren,33,46,1,112,24,48,93
179,Wapello,74,152,3,196,119,103,199
181,Warren,150,335,23,596,308,479,630
183,Washington,51,128,0,277,113,168,205
185,Wayne,23,22,2,45,61,37,72
187,Webster,62,162,5,203,140,287,311
189,Winnebago,42,68,6,55,22,69,170
191,Winneshiek,19,169,8,174,34,149,136
193,Woodbury,80,406,19,529,308,952,1125
195,Worth,18,30,3,31,26,34,46
197,Wright,32,59,0,69,62,83,92
,Statewide Total,6073,16251,745,26219,12604,30015,30007
Source: IowaCaucus.com and IowaDemocrates.org,,,,,,,,
