"id","county_name","bush","carson","cruz","kasich","randpaul","rubio","trump","fiorina","christie","santorum","clinton","sanders"
84033001,"Belknap County","65","76","84","61","42","73","48","66","37","38","62","59"
84033003,"Carroll County","37","69","63","59","76","64","49","57","31","78","69","64"
84033005,"Cheshire County","100","94","82","71","96","72","60","46","60","45","69","97"
84033007,"Coos County","37","40","37","17","81","72","48","54","27","100","60","51"
84033009,"Grafton County","53","62","81","75","58","79","49","52","45","49","100","100"
84033011,"Hillsborough County","72","81","98","95","99","82","60","69","90","66","81","62"
84033013,"Merrimack County","74","71","100","100","73","100","55","79","100","43","87","74"
84033015,"Rockingham County","66","100","99","91","72","91","63","78","89","75","82","70"
84033017,"Strafford County","46","74","82","61","56","83","53","72","51","49","77","73"
84033019,"Sullivan County","46","81","72","81","100","76","45","100","38","56","76","99"
