id,first_name,last_name,occupation,party,status,bgcolor
obama,Barack,Obama,President of the United States,Democrat,Running,#1f78b4
romney,Mitt,Romney,Former Governor of Massachusetts,Republican,Running,#e31a1c
santorum,Rick,Santorum,Former United States Senator,Republican,Running,#b15928
ronpaul,Ron,Paul,U.S. Representative from Texas,Republican,Running,#6a3d9a
gingrich,Newt,Gingrich,Former House Speaker,Republican,Running,#a6cee3
perry,Rick,Perry,Former Texas Governor,Republican,Running,#ffff99
bachmann,Michele ,Bachmann,U.S. Representative from Minnesota,Republican,Running,#fb9a99
huntsman,John,Huntsman,Former Ambassador,Republican,Running,#33a02c
cain,Herman,Cain,Businessman,Republican,Running,#b2df8a
roemer,Buddy,Roemer,Former Governor of Louisiana,Republican,Running,#fdbf6f
repnopref,No Preference,NA,NA,Republican,NA,#f7f7f7
repother,Other,NA,NA,Republican,NA,#ccccccc
