"id","county_name","bachmann","gingrich","huntsman","paul","perry","romney","santorum"
"84019001","Adair County",26,44,1,42,47,43,66
"84019003","Adams County",9,24,0,74,14,32,47
"84019005","Allamakee County",18,82,0,157,28,155,77
"84019007","Appanoose County",25,71,1,77,90,87,174
"84019009","Audubon County",17,32,0,41,31,48,54
"84019011","Benton County",66,121,5,202,168,184,290
"84019013","Black Hawk County",262,596,29,870,259,835,783
"84019015","Boone County",104,160,4,276,170,230,400
"84019017","Bremer County",57,98,14,194,105,246,215
"84019019","Buchanan County",40,77,1,66,62,78,133
"84019021","Buena Vista County",26,128,3,169,110,124,154
"84019023","Butler County",41,71,4,99,87,92,157
"84019025","Calhoun County",31,54,2,75,71,69,131
"84019027","Carroll County",32,145,2,133,85,146,168
"84019029","Cass County",32,147,2,116,66,141,170
"84019031","Cedar County",34,84,4,188,67,165,167
"84019033","Cerro Gordo County",100,235,5,304,170,408,345
"84019035","Cherokee County",20,78,0,95,63,126,155
"84019037","Chickasaw County",14,53,3,142,74,85,72
"84019039","Clarke County",42,46,1,98,62,65,51
"84019041","Clay County",40,137,4,150,75,149,165
"84019043","Clayton County",28,72,1,205,81,116,122
"84019045","Clinton County",62,149,9,295,73,437,354
"84019047","Crawford County",22,84,0,72,64,93,101
"84019049","Dallas County",192,591,15,688,504,1417,840
"84019051","Davis County",25,35,0,79,39,18,100
"84019053","Decatur County",35,51,0,81,54,79,44
"84019055","Delaware County",0,0,0,0,0,0,0
"84019057","Des Moines County",79,187,6,260,121,308,388
"84019059","Dickinson County",17,132,4,100,132,187,161
"84019061","Dubuque County",28,255,15,659,175,779,601
"84019063","Emmet County",47,27,0,38,43,42,65
"84019065","Fayette County",58,134,4,133,80,241,174
"84019067","Floyd County",34,56,1,89,31,119,182
"84019069","Franklin County",32,80,0,106,53,78,125
"84019071","Fremont County",36,41,2,33,15,59,58
"84019073","Greene County",17,74,1,73,57,99,102
"84019075","Grundy County",45,82,0,99,100,129,172
"84019077","Guthrie County",40,70,1,112,106,108,140
"84019079","Hamilton County",51,138,6,164,73,144,184
"84019081","Hancock County",36,89,7,126,67,55,157
"84019083","Hardin County",46,96,4,156,98,168,258
"84019085","Harrison County",37,98,2,110,69,123,205
"84019087","Henry County",43,97,0,147,55,170,227
"84019089","Howard County",40,26,0,33,16,51,108
"84019091","Humboldt County",36,39,0,78,49,64,160
"84019093","Ida County",12,48,1,47,49,46,105
"84019095","Iowa County",58,81,1,151,46,159,197
"84019097","Jackson County",18,90,2,163,43,139,92
"84019099","Jasper County",122,171,8,300,162,285,576
"84019101","Jefferson County",32,88,7,408,48,101,156
"84019103","Johnson County",121,476,52,1445,247,1604,746
"84019105","Jones County",48,52,1,167,76,200,183
"84019107","Keokuk County",37,60,0,89,47,80,104
"84019109","Kossuth County",42,98,3,87,60,106,192
"84019111","Lee County",16,140,5,219,51,169,195
"84019113","Linn County",411,1066,64,2072,785,2520,1818
"84019115","Louisa County",16,73,0,87,41,67,87
"84019117","Lucas County",22,29,1,48,95,80,120
"84019119","Lyon County",23,42,1,57,52,36,329
"84019121","Madison County",54,144,5,221,154,170,223
"84019123","Mahaska County",138,170,2,241,209,159,494
"84019125","Marion County",117,159,5,326,333,228,567
"84019127","Marshall County",97,299,7,315,235,365,373
"84019129","Mills County",29,79,2,84,44,132,163
"84019131","Mitchell County",16,86,3,96,17,44,68
"84019133","Monona County",5,53,1,43,33,96,112
"84019135","Monroe County",16,46,1,43,47,28,84
"84019137","Montgomery County",13,39,0,52,56,95,106
"84019139","Muscatine County",49,171,12,255,129,361,243
"84019141","O'Brien County",29,57,3,105,73,56,265
"84019143","Osceola County",20,29,2,78,17,48,81
"84019145","Page County",41,104,5,94,50,129,157
"84019147","Palo Alto County",12,52,1,53,38,48,70
"84019149","Plymouth County",42,161,2,195,140,369,349
"84019151","Pocahontas County",21,48,0,85,74,55,109
"84019153","Polk County",900,2797,171,4948,2070,6240,4735
"84019155","Pottawattamie County",115,457,12,529,220,719,666
"84019157","Poweshiek County",42,113,8,197,77,116,155
"84019159","Ringgold County",5,35,1,23,28,26,62
"84019161","Sac County",25,69,1,87,32,105,134
"84019163","Scott County",166,834,55,1168,296,2005,1444
"84019165","Shelby County",85,39,0,108,46,63,153
"84019167","Sioux County",82,160,9,279,297,299,943
"84019169","Story County",139,542,51,1088,439,1098,833
"84019171","Tama County",55,91,1,126,102,134,148
"84019173","Taylor County",7,25,0,64,82,44,45
"84019175","Union County",54,42,4,78,105,75,98
"84019177","Van Buren County",33,46,1,112,24,48,93
"84019179","Wapello County",74,152,3,196,119,103,199
"84019181","Warren County",150,335,23,596,308,479,630
"84019183","Washington County",51,128,0,277,113,168,205
"84019185","Wayne County",23,22,2,45,61,37,72
"84019187","Webster County",62,162,5,203,140,287,311
"84019189","Winnebago County",42,68,6,55,22,69,170
"84019191","Winneshiek County",19,169,8,174,34,149,136
"84019193","Woodbury County",80,406,19,529,308,952,1125
"84019195","Worth County",18,30,3,31,26,34,46
"84019197","Wright County",32,59,0,69,62,83,92
