"id","county_name","warren","chafee","sanders","omalley","clinton","biden","webb","lessig","demnopref","demother"
"84019001","Adair County",26,1,42,47,43,66,0,0,0,0
"84019003","Adams County",9,0,55,14,32,47,0,0,0,0
"84019005","Allamakee County",18,0,157,28,106,77,0,0,1,0
"84019007","Appanoose County",25,1,85,90,67,146,0,0,0,1
"84019009","Audubon County",17,0,41,31,48,54,0,0,0,0
"84019011","Benton County",66,5,202,168,184,290,0,0,3,0
"84019013","Black Hawk County",262,30,870,259,835,774,1,4,5,1
"84019015","Boone County",98,5,263,178,217,363,0,1,0,1
"84019017","Bremer County",57,14,194,105,249,215,0,0,4,2
"84019019","Buchanan County",40,1,66,62,78,133,0,0,0,2
"84019021","Buena Vista County",26,3,156,97,130,166,2,0,0,0
"84019023","Butler County",41,4,99,87,92,157,0,0,1,0
"84019025","Calhoun County",31,2,75,71,69,132,0,0,0,2
"84019027","Carroll County",32,3,123,85,146,168,1,1,3,0
"84019029","Cass County",32,2,116,66,141,170,0,0,0,0
"84019031","Cedar County",34,4,188,67,165,167,0,0,2,1
"84019033","Cerro Gordo County",92,5,296,169,406,340,2,0,2,1
"84019035","Cherokee County",20,0,95,63,126,155,0,0,0,0
"84019037","Chickasaw County",14,3,93,74,85,44,0,0,0,0
"84019039","Clarke County",42,1,98,62,65,51,0,0,0,2
"84019041","Clay County",40,4,150,75,149,165,0,0,11,0
"84019043","Clayton County",28,1,198,81,116,110,0,0,0,0
"84019045","Clinton County",62,9,295,73,437,354,5,0,0,0
"84019047","Crawford County",22,1,72,64,100,105,0,0,1,0
"84019049","Dallas County",196,15,683,506,1442,866,0,0,4,6
"84019051","Davis County",25,0,79,39,18,100,0,0,0,0
"84019053","Decatur County",35,0,81,54,79,44,0,0,0,0
"84019055","Delaware County",15,2,107,83,115,146,0,0,0,0
"84019057","Des Moines County",79,6,261,121,308,388,0,0,0,0
"84019059","Dickinson County",18,4,100,98,187,150,0,0,0,0
"84019061","Dubuque County",28,16,665,189,826,627,0,0,0,0
"84019063","Emmet County",43,0,35,38,33,58,0,0,0,0
"84019065","Fayette County",50,4,134,82,136,172,1,0,0,1
"84019067","Floyd County",34,1,89,31,119,182,0,0,1,0
"84019069","Franklin County",32,0,96,50,77,122,0,0,1,0
"84019071","Fremont County",36,2,33,15,59,58,0,0,0,0
"84019073","Greene County",17,1,86,75,91,101,0,0,1,0
"84019075","Grundy County",43,0,99,100,129,172,0,0,4,0
"84019077","Guthrie County",39,1,112,106,107,140,0,0,0,0
"84019079","Hamilton County",51,6,164,73,144,184,0,0,0,0
"84019081","Hancock County",36,0,126,67,55,157,0,0,0,1
"84019083","Hardin County",46,4,156,96,168,258,0,1,4,0
"84019085","Harrison County",37,2,110,69,123,205,0,0,2,2
"84019087","Henry County",43,0,147,55,170,227,0,0,3,0
"84019089","Howard County",39,0,34,16,51,108,0,0,0,0
"84019091","Humboldt County",36,0,78,49,64,160,0,0,0,0
"84019093","Ida County",12,1,47,49,46,105,0,0,0,0
"84019095","Iowa County",58,1,151,47,110,198,0,0,0,0
"84019097","Jackson County",18,2,163,43,139,92,0,0,0,2
"84019099","Jasper County",122,8,300,162,285,577,0,0,0,4
"84019101","Jefferson County",32,7,408,48,101,156,0,0,0,0
"84019103","Johnson County",121,52,1446,247,1603,716,2,3,2,12
"84019105","Jones County",48,1,167,76,200,180,1,0,0,0
"84019107","Keokuk County",37,0,89,47,80,104,1,0,0,0
"84019109","Kossuth County",42,3,89,60,95,192,0,0,1,0
"84019111","Lee County",12,3,177,37,135,120,1,0,0,5
"84019113","Linn County",411,64,2089,786,2530,1818,0,1,9,5
"84019115","Louisa County",16,0,87,41,67,87,0,0,1,0
"84019117","Lucas County",22,1,48,95,80,120,0,0,1,0
"84019119","Lyon County",23,1,57,52,36,329,0,0,0,0
"84019121","Madison County",54,5,221,154,170,223,1,1,2,0
"84019123","Mahaska County",138,2,241,209,159,495,0,0,0,0
"84019125","Marion County",117,5,326,333,228,567,0,0,0,4
"84019127","Marshall County",95,7,315,235,365,373,0,1,0,0
"84019129","Mills County",29,2,84,44,132,162,1,0,0,1
"84019131","Mitchell County",16,3,96,17,44,68,1,0,0,0
"84019133","Monona County",5,0,43,33,96,112,0,0,0,0
"84019135","Monroe County",16,1,43,47,28,84,2,0,0,1
"84019137","Montgomery County",20,0,52,56,95,106,0,0,4,1
"84019139","Muscatine County",49,12,260,129,361,243,1,0,1,0
"84019141","O'Brien County",29,3,105,73,56,265,0,0,0,0
"84019143","Osceola County",20,2,78,17,48,81,1,0,0,0
