id,county_name,trump,cruz,rubio,bush,carson,christie,fiorina,gilmore,huckabee,kasich,santorum,randpaul,repnopref,repother
84019001,Adair County,104,104,80,4,61,4,16,1,11,2,7,12,0,1
84019003,Adams County,68,81,47,7,30,1,16,0,3,10,1,8,0,1
84019005,Allamakee County,193,183,131,11,77,4,54,0,9,2,6,16,0,0
84019007,Appanoose County,216,189,74,8,80,1,7,0,33,3,1,19,0,1
84019009,Audubon County,99,135,56,10,33,1,4,0,20,5,0,11,0,0
84019011,Benton County,410,596,246,11,171,23,35,0,34,27,9,72,0,1
84019013,Black Hawk County,1360,1585,1551,178,497,104,131,0,72,53,20,357,0,2
84019015,Boone County,412,566,320,31,177,40,7,1,67,22,19,96,0,0
84019017,Bremer County,347,408,389,38,134,16,24,0,19,50,19,46,0,0
84019019,Buchanan County,217,308,110,14,82,15,31,0,15,6,4,35,0,0
84019021,Buena Vista County,251,309,221,23,97,7,20,0,18,15,22,26,0,0
84019023,Butler County,220,332,145,24,108,6,18,0,21,3,1,32,0,0
84019025,Calhoun County,136,159,121,10,37,5,8,0,35,7,19,20,0,0
84019027,Carroll County,298,256,230,60,69,7,44,0,11,14,5,31,0,1
84019029,Cass County,262,225,176,34,142,15,10,0,17,21,13,9,0,0
84019031,Cedar County,281,310,240,17,100,9,19,1,13,26,6,43,0,5
84019033,Cerro Gordo County,597,655,446,119,184,114,42,0,39,29,18,78,0,4
84019035,Cherokee County,248,157,243,16,119,5,11,1,17,5,5,12,0,0
84019037,Chickasaw County,166,161,143,11,57,2,27,0,6,3,6,18,0,1
84019039,Clarke County,202,155,88,12,56,9,9,0,8,3,0,15,0,0
84019041,Clay County,292,291,149,16,155,15,8,0,25,31,14,28,0,1
84019043,Clayton County,249,298,109,26,67,9,26,0,17,11,5,29,0,0
84019045,Clinton County,709,621,459,106,159,26,70,0,15,41,6,94,0,0
84019047,Crawford County,214,226,114,12,63,14,24,0,7,8,5,12,0,0
84019049,Dallas County,1510,1691,2469,213,489,214,133,0,61,167,58,276,0,1
84019051,Davis County,205,168,37,10,38,8,1,0,38,1,0,25,0,0
84019053,Decatur County,127,173,73,5,80,4,2,0,6,4,4,19,0,0
84019055,Delaware County,198,317,172,19,92,5,52,0,7,2,3,27,0,0
84019057,Des Moines County,659,613,451,19,212,35,17,0,31,20,6,99,0,4
84019059,Dickinson County,342,260,286,46,159,8,12,0,15,27,12,34,0,1
84019061,Dubuque County,1087,824,1060,95,384,75,97,0,48,54,21,230,0,0
84019063,Emmet County,122,143,46,11,49,5,8,0,10,4,1,4,0,0
84019065,Fayette County,240,341,180,18,144,6,18,0,17,6,3,27,0,0
84019067,Floyd County,200,305,105,23,83,9,8,0,8,9,0,10,0,0
84019069,Franklin County,159,225,105,18,62,1,5,0,23,4,3,23,0,0
84019071,Fremont County,182,87,77,10,40,5,0,0,2,6,5,11,0,1
84019073,Greene County,164,162,77,25,62,13,2,0,14,6,7,14,0,0
84019075,Grundy County,198,272,261,26,73,12,10,0,50,4,8,32,0,0
84019077,Guthrie County,208,218,118,16,107,9,18,0,23,2,7,28,0,0
84019079,Hamilton County,269,277,159,13,89,21,14,0,25,20,20,48,0,2
84019081,Hancock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019083,Hardin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019085,Harrison County,315,282,112,5,221,17,24,0,10,10,6,17,0,0
84019087,Henry County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019089,Howard County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019091,Humboldt County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019093,Ida County,136,135,135,8,43,4,32,0,8,3,14,7,0,2
84019095,Iowa County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019097,Jackson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019099,Jasper County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019101,Jefferson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019103,Johnson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019105,Jones County,258,363,167,25,107,14,35,0,6,6,21,32,0,0
84019107,Keokuk County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019109,Kossuth County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019111,Lee County,409,334,249,19,157,12,51,0,26,16,6,36,0,5
84019113,Linn County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019115,Louisa County,261,257,76,14,44,4,5,0,31,5,1,26,0,0
84019117,Lucas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84019119,Lyon County,173,432,229,11,206,3,10,0,3,6,20,14,0,0
84019121,Madison County,373,452,250,22,107,18,21,0,34,11,7,51,0,3
84019123,Mahaska County,421,669,368,40,209,16,37,0,49,8,73,69,0,1
84019125,Marion County,539,1011,606,74,272,62,41,0,74,30,40,123,0,0
84019127,Marshall County,608,630,502,61,226,27,57,0,50,33,55,75,0,3
84019129,Mills County,185,136,178,8,114,9,14,0,5,11,17,15,0,0
84019131,Mitchell County,120,114,56,10,61,4,55,0,11,3,3,34,0,0
84019133,Monona County,156,185,94,2,41,8,6,0,9,1,2,8,0,0
84019135,Monroe County,170,195,97,3,25,2,4,0,18,4,0,23,0,0
84019137,Montgomery County,118,133,124,27,85,5,27,0,10,10,6,26,0,0
84019139,Muscatine County,720,576,635,53,110,50,43,0,39,45,12,131,0,0
84019141,O'Brien County,256,347,281,17,220,6,10,0,45,6,9,19,0,3
84019143,Osceola County,78,113,56,13,42,3,7,0,3,1,3,8,0,0
84019145,Page County,232,249,156,25,157,4,8,0,9,12,7,13,0,1
84019147,Palo Alto County,117,110,94,14,40,6,9,0,17,5,5,15,0,0
84019149,Plymouth County,618,530,373,44,195,25,19,0,14,22,12,34,0,0
84019151,Pocahontas County,110,187,65,9,70,5,5,0,16,2,1,13,0,0
84019153,Polk County,6764,7864,8365,1405,2297,745,420,2,565,773,234,1633,0,31
84019155,Pottawattamie County,1508,942,750,70,543,53,80,0,25,127,115,156,0,4
84019157,Poweshiek County,258,282,183,38,76,14,14,0,30,18,7,63,0,0
84019159,Ringgold County,106,84,50,16,52,3,3,1,14,0,1,2,0,0
84019161,Sac County,212,187,81,19,61,6,12,0,18,7,49,17,0,0
84019163,Scott County,2465,2396,2553,353,532,178,219,0,78,436,50,486,0,3
84019165,Shelby County,203,207,129,9,109,10,22,0,18,9,6,23,0,0
84019167,Sioux County,502,1524,1469,76,686,24,39,0,35,45,77,117,0,0
84019169,Story County,1127,1799,2397,208,630,164,116,2,123,192,60,627,0,7
84019171,Tama County,350,307,123,12,83,16,10,0,33,12,10,27,0,0
84019173,Taylor County,140,74,52,10,63,5,6,0,9,6,3,10,0,1
84019175,Union County,194,203,135,12,87,3,16,0,28,7,7,10,0,0
84019177,Van Buren County,151,196,63,3,56,3,0,0,51,1,0,7,0,2
84019179,Wapello County,592,489,242,24,127,21,10,0,103,9,2,50,0,0
