"id","county_name","trump","cruz","rubio","bush","carson","christie","fiorina","gilmore","huckabee","kasich","santorum","randpaul","repnopref","repother"
"84019001","Adair County",26,44,1,42,47,43,66,0,0,0,0,0,0,0
"84019003","Adams County",9,24,0,55,14,32,47,0,0,0,0,0,0,0
"84019005","Allamakee County",18,82,0,157,28,106,77,0,0,1,0,0,1,0
"84019007","Appanoose County",25,72,1,85,90,67,146,0,0,0,1,0,0,1
"84019009","Audubon County",17,32,0,41,31,48,54,0,0,0,0,0,0,0
"84019011","Benton County",66,121,5,202,168,184,290,0,0,3,0,0,3,0
"84019013","Black Hawk County",262,596,30,870,259,835,774,1,4,5,1,4,5,1
"84019015","Boone County",98,156,5,263,178,217,363,0,1,0,1,1,0,1
"84019017","Bremer County",57,98,14,194,105,249,215,0,0,4,2,0,4,2
"84019019","Buchanan County",40,77,1,66,62,78,133,0,0,0,2,0,0,2
"84019021","Buena Vista County",26,124,3,156,97,130,166,2,0,0,0,0,0,0
"84019023","Butler County",41,71,4,99,87,92,157,0,0,1,0,0,1,0
"84019025","Calhoun County",31,54,2,75,71,69,132,0,0,0,2,0,0,2
"84019027","Carroll County",32,145,3,123,85,146,168,1,1,3,0,1,3,0
"84019029","Cass County",32,147,2,116,66,141,170,0,0,0,0,0,0,0
"84019031","Cedar County",34,84,4,188,67,165,167,0,0,2,1,0,2,1
"84019033","Cerro Gordo County",92,235,5,296,169,406,340,2,0,2,1,0,2,1
"84019035","Cherokee County",20,78,0,95,63,126,155,0,0,0,0,0,0,0
"84019037","Chickasaw County",14,38,3,93,74,85,44,0,0,0,0,0,0,0
"84019039","Clarke County",42,46,1,98,62,65,51,0,0,0,2,0,0,2
"84019041","Clay County",40,137,4,150,75,149,165,0,0,11,0,0,11,0
"84019043","Clayton County",28,70,1,198,81,116,110,0,0,0,0,0,0,0
"84019045","Clinton County",62,151,9,295,73,437,354,5,0,0,0,0,0,0
"84019047","Crawford County",22,84,1,72,64,100,105,0,0,1,0,0,1,0
"84019049","Dallas County",196,600,15,683,506,1442,866,0,0,4,6,0,4,6
"84019051","Davis County",25,35,0,79,39,18,100,0,0,0,0,0,0,0
"84019053","Decatur County",35,51,0,81,54,79,44,0,0,0,0,0,0,0
"84019055","Delaware County",15,76,2,107,83,115,146,0,0,0,0,0,0,0
"84019057","Des Moines County",79,187,6,261,121,308,388,0,0,0,0,0,0,0
"84019059","Dickinson County",18,132,4,100,98,187,150,0,0,0,0,0,0,0
"84019061","Dubuque County",28,268,16,665,189,826,627,0,0,0,0,0,0,0
"84019063","Emmet County",43,26,0,35,38,33,58,0,0,0,0,0,0,0
"84019065","Fayette County",50,129,4,134,82,136,172,1,0,0,1,0,0,1
"84019067","Floyd County",34,56,1,89,31,119,182,0,0,1,0,0,1,0
"84019069","Franklin County",32,78,0,96,50,77,122,0,0,1,0,0,1,0
"84019071","Fremont County",36,41,2,33,15,59,58,0,0,0,0,0,0,0
"84019073","Greene County",17,81,1,86,75,91,101,0,0,1,0,0,1,0
"84019075","Grundy County",43,82,0,99,100,129,172,0,0,4,0,0,4,0
"84019077","Guthrie County",39,68,1,112,106,107,140,0,0,0,0,0,0,0
"84019079","Hamilton County",51,138,6,164,73,144,184,0,0,0,0,0,0,0
"84019081","Hancock County",36,89,0,126,67,55,157,0,0,0,1,0,0,1
"84019083","Hardin County",46,96,4,156,96,168,258,0,1,4,0,1,4,0
"84019085","Harrison County",37,98,2,110,69,123,205,0,0,2,2,0,2,2
"84019087","Henry County",43,97,0,147,55,170,227,0,0,3,0,0,3,0
"84019089","Howard County",39,26,0,34,16,51,108,0,0,0,0,0,0,0
"84019091","Humboldt County",36,39,0,78,49,64,160,0,0,0,0,0,0,0
"84019093","Ida County",12,48,1,47,49,46,105,0,0,0,0,0,0,0
"84019095","Iowa County",58,80,1,151,47,110,198,0,0,0,0,0,0,0
"84019097","Jackson County",18,90,2,163,43,139,92,0,0,0,2,0,0,2
"84019099","Jasper County",122,171,8,300,162,285,577,0,0,0,4,0,0,4
"84019101","Jefferson County",32,88,7,408,48,101,156,0,0,0,0,0,0,0
"84019103","Johnson County",121,464,52,1446,247,1603,716,2,3,2,12,3,2,12
