"id","county_name","Bachmann","Cain","Gingrich","Huntsman","Paul","Perry","Roemer","Romney","Santorum","no_preference","other"
"84019001","Adair County",26,0,44,1,42,47,0,43,66,0,0
"84019003","Adams County",9,0,24,0,55,14,0,32,47,0,0
"84019005","Allamakee County",18,0,82,0,157,28,0,106,77,1,0
"84019007","Appanoose County",25,0,72,1,85,90,0,67,146,0,1
"84019009","Audubon County",17,0,32,0,41,31,0,48,54,0,0
"84019011","Benton County",66,0,121,5,202,168,0,184,290,3,0
"84019013","Black Hawk County",262,1,596,30,870,259,4,835,774,5,1
"84019015","Boone County",98,0,156,5,263,178,1,217,363,0,1
"84019017","Bremer County",57,0,98,14,194,105,0,249,215,4,2
"84019019","Buchanan County",40,0,77,1,66,62,0,78,133,0,2
"84019021","Buena Vista County",26,2,124,3,156,97,0,130,166,0,0
"84019023","Butler County",41,0,71,4,99,87,0,92,157,1,0
"84019025","Calhoun County",31,0,54,2,75,71,0,69,132,0,2
"84019027","Carroll County",32,1,145,3,123,85,1,146,168,3,0
"84019029","Cass County",32,0,147,2,116,66,0,141,170,0,0
"84019031","Cedar County",34,0,84,4,188,67,0,165,167,2,1
"84019033","Cerro Gordo County",92,2,235,5,296,169,0,406,340,2,1
"84019035","Cherokee County",20,0,78,0,95,63,0,126,155,0,0
"84019037","Chickasaw County",14,0,38,3,93,74,0,85,44,0,0
"84019039","Clarke County",42,0,46,1,98,62,0,65,51,0,2
"84019041","Clay County",40,0,137,4,150,75,0,149,165,11,0
"84019043","Clayton County",28,0,70,1,198,81,0,116,110,0,0
"84019045","Clinton County",62,5,151,9,295,73,0,437,354,0,0
"84019047","Crawford County",22,0,84,1,72,64,0,100,105,1,0
"84019049","Dallas County",196,0,600,15,683,506,0,1442,866,4,6
"84019051","Davis County",25,0,35,0,79,39,0,18,100,0,0
"84019053","Decatur County",35,0,51,0,81,54,0,79,44,0,0
"84019055","Delaware County",15,0,76,2,107,83,0,115,146,0,0
"84019057","Des Moines County",79,0,187,6,261,121,0,308,388,0,0
