"sZip","consolidation","szVotingPrecinctName","MailBallotPrecinct","iBalType","Assembly","BART","Congressional","Neighborhood","Senatorial","Supervisorial"
"94112",1101,"Pct 1101","No",1,19,9,14,"EXCELSIOR",11,11
"94131",1101,"Pct 1101","No",1,19,9,14,"EXCELSIOR",11,11
"94112",1102,"Pct 1102","No",1,19,9,14,"EXCELSIOR",11,11
"94112",1103,"Pct 1103","No",1,19,9,14,"EXCELSIOR",11,11
"94112",1104,"Pct 1104/1105","No",1,19,9,14,"EXCELSIOR",11,11
"94132",1106,"Pct 1106","No",1,19,8,14,"INGLESIDE",11,11
"94132",1107,"Pct 1107","No",1,19,8,14,"INGLESIDE",11,11
"94112",1108,"Pct 1108","No",1,19,8,14,"INGLESIDE",11,11
"94132",1108,"Pct 1108","No",1,19,8,14,"INGLESIDE",11,11
"94112",1109,"Pct 1109","No",1,19,8,14,"INGLESIDE",11,11
"94112",1111,"Pct 1111","No",1,19,8,14,"INGLESIDE",11,11
"94112",1112,"Pct 1112","No",1,19,8,14,"INGLESIDE",11,11
"94112",1113,"Pct 1113","No",1,19,9,14,"EXCELSIOR",11,11
"94112",1114,"Pct 1114","No",1,19,9,14,"EXCELSIOR",11,11
"94132",1115,"Pct 1115","No",1,19,8,14,"INGLESIDE",11,11
"94132",1116,"Pct 1116","No",1,19,8,14,"INGLESIDE",11,11
"94112",1117,"Pct 1117","No",1,19,8,14,"INGLESIDE",11,11
"94132",1117,"Pct 1117","No",1,19,8,14,"INGLESIDE",11,11
"94112",1118,"Pct 1118","No",1,19,8,14,"INGLESIDE",11,11
"94112",1119,"Pct 1119","No",1,19,8,14,"INGLESIDE",11,11
"94112",1121,"Pct 1121","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1122,"Pct 1122","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1123,"Pct 1123","No",1,19,8,14,"INGLESIDE",11,11
"94132",1123,"Pct 1123","No",1,19,8,14,"INGLESIDE",11,11
"94112",1124,"Pct 1124","No",1,19,8,14,"INGLESIDE",11,11
"94112",1125,"Pct 1125","No",1,19,8,14,"EXCELSIOR",11,11
"94132",1125,"Pct 1125","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1126,"Pct 1126","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1127,"Pct 1127","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1128,"Pct 1128","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1129,"Pct 1129","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1131,"Pct 1131","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1132,"Pct 1132","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1133,"Pct 1133","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1134,"Pct 1134","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1135,"Pct 1135","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1136,"Pct 1136","No",1,19,8,14,"EXCELSIOR",11,11
"94134",1136,"Pct 1136","No",1,19,8,14,"EXCELSIOR",11,11
"94112",1141,"Pct 1141","No",2,17,9,12,"EXCELSIOR",11,11
"94134",1141,"Pct 1141","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1142,"Pct 1142","No",2,17,9,12,"EXCELSIOR",11,11
"94134",1142,"Pct 1142","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1143,"Pct 1143","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1144,"Pct 1144","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1145,"Pct 1145","No",2,17,9,12,"EXCELSIOR",11,11
"94134",1145,"Pct 1145","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1146,"Pct 1146","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1147,"Pct 1147","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1148,"Pct 1148","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1149,"Pct 1149","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1151,"Pct 1151 MB","Yes",2,17,8,12,"VISITA VLY",11,11
"94112",1152,"Pct 1152","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1153,"Pct 1153","No",2,17,9,12,"EXCELSIOR",11,11
"94112",1154,"Pct 1154 MB","Yes",2,17,8,12,"EXCELSIOR",11,11
"94103",7001,"Pct 7001","No",3,17,9,12,"MISSION",11,10
"94110",7001,"Pct 7001","No",3,17,9,12,"MISSION",11,10
"94103",7002,"Pct 7002","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7002,"Pct 7002","No",3,17,9,12,"POTRERO HILL",11,10
"94110",7002,"Pct 7002","No",3,17,9,12,"POTRERO HILL",11,10
"94158",7002,"Pct 7002","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7003,"Pct 7003","No",3,17,9,12,"POTRERO HILL",11,10
"94110",7003,"Pct 7003","No",3,17,9,12,"POTRERO HILL",11,10
"94103",7004,"Pct 7004","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7004,"Pct 7004","No",3,17,9,12,"POTRERO HILL",11,10
"94103",7005,"Pct 7005","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7005,"Pct 7005","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7006,"Pct 7006","No",3,17,9,12,"POTRERO HILL",11,10
"94110",7006,"Pct 7006","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7007,"Pct 7007","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7008,"Pct 7008","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7009,"Pct 7009","No",3,17,9,12,"POTRERO HILL",11,10
"94124",7009,"Pct 7009","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7011,"Pct 7011","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7012,"Pct 7012","No",3,17,9,12,"POTRERO HILL",11,10
"94124",7012,"Pct 7012","No",3,17,9,12,"POTRERO HILL",11,10
"94107",7013,"Pct 7013","No",3,17,7,12,"POTRERO HILL",11,10
