"id","pct_2012","precinct_names","neighborhood","yes_percentage"
"84006075PCT1101","1101","Pct 1101","EXCELSIOR",0.53
"84006075PCT1102","1102","Pct 1102/1103","EXCELSIOR",0.48
"84006075PCT1103","1103",NA,"EXCELSIOR",NA
"84006075PCT1104","1104","Pct 1104/1105","EXCELSIOR",0.5
"84006075PCT1105","1105",NA,"EXCELSIOR",NA
"84006075PCT1106","1106","Pct 1106/1107","INGLESIDE",0.43
"84006075PCT1107","1107",NA,"INGLESIDE",NA
"84006075PCT1108","1108",NA,"INGLESIDE",NA
"84006075PCT1109","1109","Pct 1109/1108","INGLESIDE",0.48
"84006075PCT1111","1111","Pct 1111","INGLESIDE",0.39
"84006075PCT1112","1112","Pct 1112","INGLESIDE",0.48
"84006075PCT1113","1113",NA,"EXCELSIOR",NA
"84006075PCT1114","1114","Pct 1114/1113","EXCELSIOR",0.54
"84006075PCT1115","1115","Pct 1115/1116","INGLESIDE",0.42
"84006075PCT1116","1116",NA,"INGLESIDE",NA
"84006075PCT1117","1117","Pct 1117","INGLESIDE",0.36
"84006075PCT1118","1118","Pct 1118/1124","INGLESIDE",0.51
"84006075PCT1119","1119","Pct 1119","INGLESIDE",0.59
"84006075PCT1121","1121",NA,"EXCELSIOR",NA
"84006075PCT1122","1122","Pct 1122","EXCELSIOR",0.45
"84006075PCT1123","1123","Pct 1123/1125","INGLESIDE",0.42
"84006075PCT1124","1124",NA,"INGLESIDE",NA
"84006075PCT1125","1125",NA,"EXCELSIOR",NA
"84006075PCT1126","1126","Pct 1126/1121","EXCELSIOR",0.45
"84006075PCT1127","1127",NA,"EXCELSIOR",NA
"84006075PCT1128","1128","Pct 1128/1127","EXCELSIOR",0.47
"84006075PCT1129","1129","Pct 1129/1131","EXCELSIOR",0.47
"84006075PCT1131","1131",NA,"EXCELSIOR",NA
"84006075PCT1132","1132","Pct 1132","EXCELSIOR",0.47
"84006075PCT1133","1133",NA,"EXCELSIOR",NA
"84006075PCT1134","1134","Pct 1134","EXCELSIOR",0.56
"84006075PCT1135","1135","Pct 1135/1133","EXCELSIOR",0.39
"84006075PCT1136","1136","Pct 1136","EXCELSIOR",0.29
"84006075PCT1141","1141","Pct 1141/1142","EXCELSIOR",0.53
"84006075PCT1142","1142",NA,"EXCELSIOR",NA
"84006075PCT1143","1143",NA,"EXCELSIOR",NA
"84006075PCT1144","1144","Pct 1144/1143","EXCELSIOR",0.53
"84006075PCT1145","1145",NA,"EXCELSIOR",NA
"84006075PCT1146","1146","Pct 1146/1147","EXCELSIOR",0.51
"84006075PCT1147","1147",NA,"EXCELSIOR",NA
"84006075PCT1148","1148","Pct 1148","EXCELSIOR",0.52
"84006075PCT1149","1149","Pct 1149/1145","EXCELSIOR",0.53
"84006075PCT1151","1151",NA,"VISITA VLY",NA
"84006075PCT1152","1152",NA,"EXCELSIOR",NA
"84006075PCT1153","1153","Pct 1153/1152","EXCELSIOR",0.46
"84006075PCT1154","1154",NA,"EXCELSIOR",NA
"84006075PCT7001","7001","Pct 7001","MISSION",0.45
"84006075PCT7002","7002","Pct 7002","POTRERO HILL",0.51
"84006075PCT7003","7003","Pct 7003/7004","POTRERO HILL",0.49
"84006075PCT7004","7004",NA,"POTRERO HILL",NA
"84006075PCT7005","7005","Pct 7005","POTRERO HILL",0.51
"84006075PCT7006","7006","Pct 7006","POTRERO HILL",0.68
"84006075PCT7007","7007","Pct 7007/7008","POTRERO HILL",0.46
"84006075PCT7008","7008",NA,"POTRERO HILL",NA
"84006075PCT7009","7009",NA,"BAYVW/HTRSPT",NA
"84006075PCT7011","7011","Pct 7011/7009","POTRERO HILL",0.47
"84006075PCT7012","7012","Pct 7012","POTRERO HILL",0.44
"84006075PCT7013","7013","Pct 7013/7014","POTRERO HILL",0.44
"84006075PCT7014","7014",NA,"POTRERO HILL",NA
"84006075PCT7015","7015","Pct 7015 MB","BAYVW/HTRSPT",NA
"84006075PCT7016","7016","Pct 7016/7019","BAYVW/HTRSPT",0.46
"84006075PCT7017","7017",NA,"BAYVW/HTRSPT",NA
"84006075PCT7018","7018","Pct 7018/7026","BAYVW/HTRSPT",0.47
"84006075PCT7019","7019",NA,"BAYVW/HTRSPT",NA
"84006075PCT7021","7021","Pct 7021/7027","BAYVW/HTRSPT",0.42
"84006075PCT7022","7022","Pct 7022","BAYVW/HTRSPT",0.41
"84006075PCT7023","7023","Pct 7023/7017","BAYVW/HTRSPT",0.34
"84006075PCT7024","7024","Pct 7024","BAYVW/HTRSPT",0.17
"84006075PCT7025","7025","Pct 7025","BAYVW/HTRSPT",0.38
"84006075PCT7026","7026",NA,"BAYVW/HTRSPT",NA
"84006075PCT7027","7027",NA,"BAYVW/HTRSPT",NA
"84006075PCT7028","7028","Pct 7028/7033","BAYVW/HTRSPT",0.4
"84006075PCT7029","7029","Pct 7029","BAYVW/HTRSPT",0.35
"84006075PCT7030","7030","Pct 7030/7031","BAYVW/HTRSPT",0.41
"84006075PCT7031","7031",NA,"BAYVW/HTRSPT",NA
"84006075PCT7032","7032","Pct 7032","BAYVW/HTRSPT",0.4
"84006075PCT7033","7033",NA,"BAYVW/HTRSPT",NA
"84006075PCT7034","7034","Pct 7034","BAYVW/HTRSPT",0.33
"84006075PCT7035","7035","Pct 7035","BAYVW/HTRSPT",0.37
"84006075PCT7036","7036",NA,"VISITA VLY",NA
"84006075PCT7037","7037","Pct 7037","VISITA VLY",0.26
"84006075PCT7038","7038","Pct 7038","VISITA VLY",0.39
"84006075PCT7039","7039","Pct 7039","VISITA VLY",0.46
"84006075PCT7041","7041","Pct 7041 MB","PORTOLA",NA
"84006075PCT7042","7042",NA,"VISITA VLY",NA
"84006075PCT7043","7043","Pct 7043","BAYVW/HTRSPT",0.43
"84006075PCT7044","7044",NA,"BAYVW/HTRSPT",NA
"84006075PCT7045","7045","Pct 7045","VISITA VLY",0.48
"84006075PCT7046","7046","Pct 7046/7042","VISITA VLY",0.52
"84006075PCT7047","7047","Pct 7047","VISITA VLY",0.41
"84006075PCT7048","7048","Pct 7048/7036","VISITA VLY",0.34
