Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,492,62,12.60,31,27,3,0
Pct 1101,VBM,1101,1,492,148,30.08,60,89,1,0
Pct 1102/1103,Election Day,1102,1,1748,312,17.85,147,161,6,0
Pct 1102/1103,VBM,1102,1,1748,505,28.89,156,343,8,1
Pct 1104/1105,Election Day,1104,1,863,147,17.03,71,72,5,0
Pct 1104/1105,VBM,1104,1,863,229,26.54,85,138,5,0
Pct 1106/1107,Election Day,1106,1,1413,196,13.87,84,111,2,0
Pct 1106/1107,VBM,1106,1,1413,375,26.54,114,253,10,0
Pct 1109/1108,Election Day,1109,1,1627,203,12.48,94,101,7,0
Pct 1109/1108,VBM,1109,1,1627,496,30.49,163,327,11,0
Pct 1111,Election Day,1111,1,866,95,10.97,36,56,3,0
Pct 1111,VBM,1111,1,866,233,26.91,74,158,5,0
Pct 1112,Election Day,1112,1,668,68,10.18,32,34,2,0
Pct 1112,VBM,1112,1,668,190,28.44,61,125,3,0
Pct 1114/1113,Election Day,1114,1,1488,172,11.56,89,76,6,0
Pct 1114/1113,VBM,1114,1,1488,414,27.82,159,256,5,0
Pct 1115/1116,Election Day,1115,1,1592,138,8.67,57,79,2,0
Pct 1115/1116,VBM,1115,1,1592,420,26.38,116,289,13,0
Pct 1117,Election Day,1117,1,768,105,13.67,37,67,3,0
Pct 1117,VBM,1117,1,768,192,25.00,52,134,8,0
Pct 1118/1124,Election Day,1118,1,1627,180,11.06,91,87,2,0
Pct 1118/1124,VBM,1118,1,1627,426,26.18,125,290,13,0
Pct 1119,Election Day,1119,1,691,85,12.30,48,34,3,0
Pct 1119,VBM,1119,1,691,181,26.19,59,119,3,0
Pct 1122,Election Day,1122,1,586,75,12.80,33,41,1,0
Pct 1122,VBM,1122,1,586,155,26.45,58,93,5,0
Pct 1123/1125,Election Day,1123,1,1722,134,7.78,56,78,0,0
Pct 1123/1125,VBM,1123,1,1722,400,23.23,106,278,19,0
Pct 1126/1121,Election Day,1126,1,1446,165,11.41,71,88,6,0
Pct 1126/1121,VBM,1126,1,1446,421,29.11,152,259,11,0
Pct 1128/1127,Election Day,1128,1,1556,194,12.47,89,100,4,0
Pct 1128/1127,VBM,1128,1,1556,429,27.57,157,269,7,0
Pct 1129/1131,Election Day,1129,1,1543,153,9.92,70,79,4,0
Pct 1129/1131,VBM,1129,1,1543,430,27.87,156,258,17,1
Pct 1132,Election Day,1132,1,856,125,14.60,57,65,3,0
Pct 1132,VBM,1132,1,856,254,29.67,91,154,13,0
Pct 1134,Election Day,1134,1,693,107,15.44,59,46,2,0
Pct 1134,VBM,1134,1,693,191,27.56,54,136,3,0
Pct 1135/1133,Election Day,1135,1,1253,125,9.98,47,75,3,0
Pct 1135/1133,VBM,1135,1,1253,404,32.24,142,260,8,0
Pct 1136,Election Day,1136,1,737,80,10.85,23,56,1,0
Pct 1136,VBM,1136,1,737,219,29.72,79,137,3,0
Pct 1141/1142,Election Day,1141,1,1697,189,11.14,98,87,6,0
Pct 1141/1142,VBM,1141,1,1697,512,30.17,208,291,13,0
Pct 1144/1143,Election Day,1144,1,1723,267,15.50,137,122,9,0
Pct 1144/1143,VBM,1144,1,1723,474,27.51,182,283,14,0
Pct 1146/1147,Election Day,1146,1,1681,242,14.40,121,115,4,0
Pct 1146/1147,VBM,1146,1,1681,502,29.86,182,308,19,1
Pct 1148,Election Day,1148,1,827,121,14.63,62,58,1,0
Pct 1148,VBM,1148,1,827,216,26.12,75,140,4,0
Pct 1149/1145,Election Day,1149,1,1658,249,15.02,124,110,9,0
Pct 1149/1145,VBM,1149,1,1658,516,31.12,224,284,9,1
