"precinct_names","reporting_type","polling_precinct","no_of_precincts","registered_to_vote","ballots_cast","turnout","yes","no","under_vote","over_vote","total","yes_percentage","no_percentage"
"Pct 1101","Election Day","1101","1","492","62","12.60",31,27,"3","0",58,0.53,0.47
"Pct 1102/1103","Election Day","1102","1","1748","312","17.85",147,161,"6","0",308,0.48,0.52
"Pct 1104/1105","Election Day","1104","1","863","147","17.03",71,72,"5","0",143,0.5,0.5
"Pct 1106/1107","Election Day","1106","1","1413","196","13.87",84,111,"2","0",195,0.43,0.57
"Pct 1109/1108","Election Day","1109","1","1627","203","12.48",94,101,"7","0",195,0.48,0.52
"Pct 1111","Election Day","1111","1","866","95","10.97",36,56,"3","0",92,0.39,0.61
"Pct 1112","Election Day","1112","1","668","68","10.18",32,34,"2","0",66,0.48,0.52
"Pct 1114/1113","Election Day","1114","1","1488","172","11.56",89,76,"6","0",165,0.54,0.46
"Pct 1115/1116","Election Day","1115","1","1592","138","8.67",57,79,"2","0",136,0.42,0.58
"Pct 1117","Election Day","1117","1","768","105","13.67",37,67,"3","0",104,0.36,0.64
"Pct 1118/1124","Election Day","1118","1","1627","180","11.06",91,87,"2","0",178,0.51,0.49
"Pct 1119","Election Day","1119","1","691","85","12.30",48,34,"3","0",82,0.59,0.41
"Pct 1122","Election Day","1122","1","586","75","12.80",33,41,"1","0",74,0.45,0.55
"Pct 1123/1125","Election Day","1123","1","1722","134","7.78",56,78,"0","0",134,0.42,0.58
"Pct 1126/1121","Election Day","1126","1","1446","165","11.41",71,88,"6","0",159,0.45,0.55
"Pct 1128/1127","Election Day","1128","1","1556","194","12.47",89,100,"4","0",189,0.47,0.53
"Pct 1129/1131","Election Day","1129","1","1543","153","9.92",70,79,"4","0",149,0.47,0.53
"Pct 1132","Election Day","1132","1","856","125","14.60",57,65,"3","0",122,0.47,0.53
"Pct 1134","Election Day","1134","1","693","107","15.44",59,46,"2","0",105,0.56,0.44
"Pct 1135/1133","Election Day","1135","1","1253","125","9.98",47,75,"3","0",122,0.39,0.61
"Pct 1136","Election Day","1136","1","737","80","10.85",23,56,"1","0",79,0.29,0.71
"Pct 1141/1142","Election Day","1141","1","1697","189","11.14",98,87,"6","0",185,0.53,0.47
"Pct 1144/1143","Election Day","1144","1","1723","267","15.50",137,122,"9","0",259,0.53,0.47
"Pct 1146/1147","Election Day","1146","1","1681","242","14.40",121,115,"4","0",236,0.51,0.49
"Pct 1148","Election Day","1148","1","827","121","14.63",62,58,"1","0",120,0.52,0.48
"Pct 1149/1145","Election Day","1149","1","1658","249","15.02",124,110,"9","0",234,0.53,0.47
"Pct 1153/1152","Election Day","1153","1","1603","208","12.98",98,114,"3","0",212,0.46,0.54
"Pct 7001","Election Day","7001","1","628","98","15.61",43,52,"3","0",95,0.45,0.55
"Pct 7002","Election Day","7002","1","860","127","14.77",64,61,"3","0",125,0.51,0.49
"Pct 7003/7004","Election Day","7003","1","1586","335","21.12",162,170,"3","0",332,0.49,0.51
"Pct 7005","Election Day","7005","1","765","188","24.58",95,92,"1","0",187,0.51,0.49
"Pct 7006","Election Day","7006","1","868","199","22.93",136,64,"0","0",200,0.68,0.32
"Pct 7007/7008","Election Day","7007","1","1665","391","23.48",179,207,"5","0",386,0.46,0.54
"Pct 7011/7009","Election Day","7011","1","1815","239","13.17",113,126,"2","0",239,0.47,0.53
"Pct 7012","Election Day","7012","1","887","202","22.77",87,113,"3","0",200,0.44,0.56
"Pct 7013/7014","Election Day","7013","1","1584","272","17.17",120,150,"2","0",270,0.44,0.56
"Pct 7015 MB","Election Day","7015","1","78","0","0.00",0,0,"0","0",0,NA,NA
"Pct 7016/7019","Election Day","7016","1","1715","146","8.51",66,78,"3","0",144,0.46,0.54
"Pct 7018/7026","Election Day","7018","1","1732","132","7.62",60,69,"2","0",129,0.47,0.53
"Pct 7021/7027","Election Day","7021","1","1678","174","10.37",71,98,"5","0",169,0.42,0.58
"Pct 7022","Election Day","7022","1","922","106","11.50",44,63,"0","0",107,0.41,0.59
"Pct 7023/7017","Election Day","7023","1","1540","118","7.66",40,79,"1","0",119,0.34,0.66
"Pct 7024","Election Day","7024","1","279","18","6.45",3,15,"0","0",18,0.17,0.83
"Pct 7025","Election Day","7025","1","441","37","8.39",14,23,"0","0",37,0.38,0.62
"Pct 7028/7033","Election Day","7028","1","1547","157","10.15",61,92,"3","0",153,0.4,0.6
"Pct 7029","Election Day","7029","1","837","49","5.85",17,32,"1","0",49,0.35,0.65
"Pct 7030/7031","Election Day","7030","1","1075","71","6.60",29,42,"2","0",71,0.41,0.59
"Pct 7032","Election Day","7032","1","854","77","9.02",29,43,"3","0",72,0.4,0.6
"Pct 7034","Election Day","7034","1","841","60","7.13",19,39,"2","0",58,0.33,0.67
"Pct 7035","Election Day","7035","1","327","36","11.01",13,22,"1","0",35,0.37,0.63
"Pct 7037","Election Day","7037","1","749","46","6.14",10,29,"8","0",39,0.26,0.74
"Pct 7038","Election Day","7038","1","846","59","6.97",22,35,"2","0",57,0.39,0.61
"Pct 7039","Election Day","7039","1","730","110","15.07",49,57,"3","0",106,0.46,0.54
"Pct 7041 MB","Election Day","7041","1","53","0","0.00",0,0,"0","0",0,NA,NA
"Pct 7043","Election Day","7043","1","847","59","6.97",26,34,"0","0",60,0.43,0.57
"Pct 7045","Election Day","7045","1","708","65","9.18",28,30,"7","0",58,0.48,0.52
"Pct 7046/7042","Election Day","7046","1","1012","104","10.28",53,49,"1","1",102,0.52,0.48
"Pct 7047","Election Day","7047","1","758","69","9.10",28,40,"0","0",68,0.41,0.59
"Pct 7048/7036","Election Day","7048","1","1606","90","5.60",30,59,"2","1",89,0.34,0.66
"Pct 7049/7051","Election Day","7049","1","1524","139","9.12",42,93,"5","0",135,0.31,0.69
"Pct 7052/7053","Election Day","7052","1","1183","117","9.89",46,70,"0","0",116,0.4,0.6
"Pct 7054/7044","Election Day","7054","1","1639","133","8.11",45,82,"5","1",127,0.35,0.65
"Pct 7101 MB","Election Day","7101","1","120","1","0.83",1,0,"0","0",1,1,0
"Pct 7201","Election Day","7201","1","823","125","15.19",54,68,"2","1",122,0.44,0.56
"Pct 7202","Election Day","7202","1","740","144","19.46",63,81,"0","0",144,0.44,0.56
"Pct 7203","Election Day","7203","1","736","134","18.21",60,76,"2","0",136,0.44,0.56
"Pct 7205/7204","Election Day","7205","1","1584","261","16.48",119,137,"5","0",256,0.46,0.54
"Pct 7206","Election Day","7206","1","315","61","19.37",24,37,"0","0",61,0.39,0.61
"Pct 7207","Election Day","7207","1","535","92","17.20",43,49,"0","0",92,0.47,0.53
"Pct 7208/7209","Election Day","7208","1","1017","122","12.00",59,60,"3","0",119,0.5,0.5
"Pct 7301/7304","Election Day","7301","1","1766","307","17.38",153,160,"14","1",313,0.49,0.51
"Pct 7302","Election Day","7302","1","737","127","17.23",65,57,"5","0",122,0.53,0.47
"Pct 7303/7306","Election Day","7303","1","1737","382","21.99",169,197,"16","0",366,0.46,0.54
"Pct 7305/7307","Election Day","7305","1","1450","360","24.83",163,191,"6","0",354,0.46,0.54
"Pct 7308","Election Day","7308","1","546","138","25.27",66,72,"0","0",138,0.48,0.52
"Pct 7309","Election Day","7309","1","725","167","23.03",80,78,"4","0",158,0.51,0.49
"Pct 7312","Election Day","7312","1","811","146","18.00",57,90,"0","0",147,0.39,0.61
"Pct 7313/7314","Election Day","7313","1","1510","212","14.04",109,95,"6","2",204,0.53,0.47
"Pct 7315/7316","Election Day","7315","1","1394","285","20.44",169,102,"13","1",271,0.62,0.38
"Pct 7317","Election Day","7317","1","838","143","17.06",84,56,"3","0",140,0.6,0.4
"Pct 7318/7311","Election Day","7318","1","1486","312","21.00",157,148,"7","0",305,0.51,0.49
"Pct 7319/7324","Election Day","7319","1","1542","259","16.80",129,127,"3","0",256,0.5,0.5
"Pct 7321","Election Day","7321","1","599","98","16.36",38,55,"5","0",93,0.41,0.59
"Pct 7322","Election Day","7322","1","816","79","9.68",32,39,"8","0",71,0.45,0.55
"Pct 7323","Election Day","7323","1","716","156","21.79",79,76,"3","0",155,0.51,0.49
"Pct 7325","Election Day","7325","1","803","175","21.79",76,94,"4","0",170,0.45,0.55
"Pct 7326","Election Day","7326","1","757","151","19.95",85,64,"2","0",149,0.57,0.43
"Pct 7329/7328","Election Day","7329","1","1402","138","9.84",57,69,"13","0",126,0.45,0.55
"Pct 7331","Election Day","7331","1","783","150","19.16",77,70,"3","0",147,0.52,0.48
"Pct 7332/7334","Election Day","7332","1","1497","284","18.97",178,102,"5","0",280,0.64,0.36
"Pct 7333","Election Day","7333","1","851","165","19.39",82,77,"5","0",159,0.52,0.48
"Pct 7336/7345","Election Day","7336","1","1729","335","19.38",186,145,"5","0",331,0.56,0.44
"Pct 7337","Election Day","7337","1","783","122","15.58",55,66,"1","0",121,0.45,0.55
"Pct 7338/7327","Election Day","7338","1","1511","174","11.52",80,82,"12","0",162,0.49,0.51
"Pct 7339/7341","Election Day","7339","1","1375","255","18.55",149,95,"8","1",244,0.61,0.39
"Pct 7342/7335","Election Day","7342","1","1651","337","20.41",199,130,"8","0",329,0.6,0.4
"Pct 7343/7344","Election Day","7343","1","1532","275","17.95",160,112,"3","0",272,0.59,0.41
"Pct 7346/7347","Election Day","7346","1","1641","322","19.62",211,108,"3","0",319,0.66,0.34
"Pct 7348","Election Day","7348","1","751","122","16.25",62,59,"2","0",121,0.51,0.49
"Pct 7349","Election Day","7349","1","820","134","16.34",74,55,"5","0",129,0.57,0.43
"Pct 7501/7504","Election Day","7501","1","920","138","15.00",43,94,"1","0",137,0.31,0.69
"Pct 7503/7502","Election Day","7503","1","1378","201","14.59",112,87,"2","0",199,0.56,0.44
"Pct 7505","Election Day","7505","1","812","103","12.68",39,64,"1","1",103,0.38,0.62
"Pct 7507/7506","Election Day","7507","1","1690","214","12.66",100,104,"10","0",204,0.49,0.51
"Pct 7508","Election Day","7508","1","648","105","16.20",57,48,"0","0",105,0.54,0.46
"Pct 7509/7511","Election Day","7509","1","852","145","17.02",76,64,"5","0",140,0.54,0.46
"Pct 7513/7512","Election Day","7513","1","1254","196","15.63",98,94,"5","0",192,0.51,0.49
"Pct 7515/7514","Election Day","7515","1","1553","151","9.72",70,77,"3","0",147,0.48,0.52
