"SupDist","Shape_Leng","BARTDist","AssemDist","CongDist","NeighRep","PREC_2012","PREC_2010","Shape_Area"
11,10377.05024,9,19,14,"EXCELSIOR",1101,"1101",2862881.107
11,6913.385829,9,19,14,"EXCELSIOR",1102,"1104",2058348.398
11,6273.134507,9,19,14,"EXCELSIOR",1103,"1102",1807316.66
11,4503.686217,9,19,14,"EXCELSIOR",1104,"1105",844143.5878
11,5473.945732,9,19,14,"EXCELSIOR",1105,"1105",1180502.668
11,6401.508311,8,19,14,"INGLESIDE",1106,"1113",1774582.613
11,4818.150759,8,19,14,"INGLESIDE",1107,"1114",1423872.97
11,5733.433929,8,19,14,"INGLESIDE",1108,"1115",1766870.424
11,4985.944692,8,19,14,"INGLESIDE",1109,"1116",1353389.658
11,5601.305854,8,19,14,"INGLESIDE",1111,"1117",1743811.776
11,5418.308304,8,19,14,"INGLESIDE",1112,"1118",1575590.41
11,8791.45356,9,19,14,"EXCELSIOR",1113,"1119",2739010.233
11,7985.268381,9,19,14,"EXCELSIOR",1114,"1121",1955233.356
11,6459.413023,8,19,14,"INGLESIDE",1115,"1125",2016244.54
11,7721.885382,8,19,14,"INGLESIDE",1116,"1126",2034801.396
11,5396.459503,8,19,14,"INGLESIDE",1117,"1127",1592700.014
11,6333.941174,8,19,14,"INGLESIDE",1118,"1128",2377501.121
11,8103.244824,8,19,14,"INGLESIDE",1119,"1129",1764410.564
11,6882.889499,8,19,14,"EXCELSIOR",1121,"1133",1730010.544
11,5708.0291,8,19,14,"EXCELSIOR",1122,"1119",1506897.96
11,6854.493725,8,19,14,"INGLESIDE",1123,"1128",2032478.468
11,8407.046493,8,19,14,"INGLESIDE",1124,"1131",2176422.486
11,9905.026235,8,19,14,"EXCELSIOR",1125,"1132",3201817.571
11,7312.195142,8,19,14,"EXCELSIOR",1126,"1141",2198405.122
11,6391.647398,8,19,14,"EXCELSIOR",1127,"1142",1737304.105
11,6218.034161,8,19,14,"EXCELSIOR",1128,"1134",1531488.044
11,7903.548405,8,19,14,"EXCELSIOR",1129,"1143",2176075.089
11,6220.81212,8,19,14,"EXCELSIOR",1131,"1144",1355313.091
11,6216.869794,8,19,14,"EXCELSIOR",1132,"1135",1855166.607
11,7729.358689,8,19,14,"EXCELSIOR",1133,"1145",2081286.643
11,5213.815744,8,19,14,"EXCELSIOR",1134,"1146",1584293.67
11,5466.940457,8,19,14,"EXCELSIOR",1135,"1147",1509039.76
11,7669.788913,8,19,14,"EXCELSIOR",1136,"2008",1938396.603
11,7854.932083,9,17,12,"EXCELSIOR",1141,"1103",2240016.937
11,7281.808532,9,17,12,"EXCELSIOR",1142,"1106",1966345.061
11,5973.356403,9,17,12,"EXCELSIOR",1143,"1107",1718880.007
11,6117.664901,9,17,12,"EXCELSIOR",1144,"1108",1598344.536
11,7287.470634,9,17,12,"EXCELSIOR",1145,"1109",1925625.574
11,6544.254804,9,17,12,"EXCELSIOR",1146,"1122",1800060.729
11,6665.602008,9,17,12,"EXCELSIOR",1147,"1123",1605389.111
11,6424.018457,9,17,12,"EXCELSIOR",1148,"1138",1782718.529
11,7010.106715,9,17,12,"EXCELSIOR",1149,"1124",1653248.338
11,3549.66705,8,17,12,"VISITA VLY",1151,"2001",740068.4313
11,7276.914272,9,17,12,"EXCELSIOR",1152,"1136",1805418.657
11,7821.212965,9,17,12,"EXCELSIOR",1153,"1137",1665741.281
11,6875.853419,8,17,12,"EXCELSIOR",1154,"1137",2621980.68
10,9061.509786,9,17,12,"MISSION",7001,"3647",3130398.094
10,13683.07955,9,17,12,"POTRERO HILL",7002,"3001",7371061.375
10,7342.064867,9,17,12,"POTRERO HILL",7003,"3001",2091996.332
10,8781.502929,9,17,12,"POTRERO HILL",7004,"3002",2215441.445
10,5564.456296,9,17,12,"POTRERO HILL",7005,"3002",1626868.43
10,10692.16339,9,17,12,"POTRERO HILL",7006,"3003",3657285.621
10,7225.297622,9,17,12,"POTRERO HILL",7007,"3004",1812642.629
10,7083.158542,9,17,12,"POTRERO HILL",7008,"3005",1689860.54
10,9426.694747,9,17,12,"BAYVW/HTRSPT",7009,"3010",2925348.489
10,7636.706697,9,17,12,"POTRERO HILL",7011,"3009",2300954.696
10,11701.47871,9,17,12,"POTRERO HILL",7012,"3007",3985414.598
10,30060.04573,7,17,12,"POTRERO HILL",7013,"3011",5808447.896
10,29222.17589,7,17,12,"POTRERO HILL",7014,"3037",16562260.31
10,15509.66803,7,17,12,"BAYVW/HTRSPT",7015,"3012",11533072.2
10,14378.29182,7,17,12,"BAYVW/HTRSPT",7016,"3013",9488666.048
10,26882.92556,7,17,12,"BAYVW/HTRSPT",7017,"3014",17767839.18
10,8186.188842,7,17,12,"BAYVW/HTRSPT",7018,"3017",2775979.159
10,5924.417178,7,17,12,"BAYVW/HTRSPT",7019,"3018",1961224.967
10,5924.844562,7,17,12,"BAYVW/HTRSPT",7021,"3019",1549137.381
