"id","state_fips","state_code","state_name","gnisid"
"84001","01","AL","Alabama","01779775"
"84002","02","AK","Alaska","01785533"
"84004","04","AZ","Arizona","01779777"
"84005","05","AR","Arkansas","00068085"
"84006","06","CA","California","01779778"
"84008","08","CO","Colorado","01779779"
"84009","09","CT","Connecticut","01779780"
"84010","10","DE","Delaware","01779781"
"84011","11","DC","District of Columbia","01702382"
"84012","12","FL","Florida","00294478"
"84013","13","GA","Georgia","01705317"
"84015","15","HI","Hawaii","01779782"
"84016","16","ID","Idaho","01779783"
"84017","17","IL","Illinois","01779784"
"84018","18","IN","Indiana","00448508"
"84019","19","IA","Iowa","01779785"
"84020","20","KS","Kansas","00481813"
"84021","21","KY","Kentucky","01779786"
"84022","22","LA","Louisiana","01629543"
"84023","23","ME","Maine","01779787"
"84024","24","MD","Maryland","01714934"
"84025","25","MA","Massachusetts","00606926"
"84026","26","MI","Michigan","01779789"
"84027","27","MN","Minnesota","00662849"
"84028","28","MS","Mississippi","01779790"
"84029","29","MO","Missouri","01779791"
"84030","30","MT","Montana","00767982"
"84031","31","NE","Nebraska","01779792"
"84032","32","NV","Nevada","01779793"
"84033","33","NH","New Hampshire","01779794"
"84034","34","NJ","New Jersey","01779795"
"84035","35","NM","New Mexico","00897535"
"84036","36","NY","New York","01779796"
"84037","37","NC","North Carolina","01027616"
"84038","38","ND","North Dakota","01779797"
"84039","39","OH","Ohio","01085497"
"84040","40","OK","Oklahoma","01102857"
"84041","41","OR","Oregon","01155107"
"84042","42","PA","Pennsylvania","01779798"
"84044","44","RI","Rhode Island","01219835"
"84045","45","SC","South Carolina","01779799"
"84046","46","SD","South Dakota","01785534"
"84047","47","TN","Tennessee","01325873"
"84048","48","TX","Texas","01779801"
"84049","49","UT","Utah","01455989"
"84050","50","VT","Vermont","01779802"
"84051","51","VA","Virginia","01779803"
"84053","53","WA","Washington","01779804"
"84054","54","WV","West Virginia","01779805"
"84055","55","WI","Wisconsin","01779806"
"84056","56","WY","Wyoming","01779807"
