"id","state_code","county_number_ref","county_number_ext"
84001,"AL",67,68
84002,"AK",29,2
84004,"AZ",15,16
84005,"AR",75,76
84006,"CA",58,59
84008,"CO",64,65
84009,"CT",8,170
84010,"DE",3,4
84011,"DC",1,2
84012,"FL",67,68
84013,"GA",159,160
84015,"HI",5,5
84016,"ID",44,45
84017,"IL",102,103
84018,"IN",92,93
84019,"IA",99,100
84020,"KS",105,106
84021,"KY",120,121
84022,"LA",64,65
84023,"ME",16,500
84024,"MD",24,25
84025,"MA",14,352
84026,"MI",83,84
84027,"MN",87,88
84028,"MS",82,83
84029,"MO",115,116
84030,"MT",56,57
84031,"NE",93,94
84032,"NV",17,18
84033,"NH",10,238
84034,"NJ",21,22
84035,"NM",33,34
84036,"NY",62,63
84037,"NC",100,101
84038,"ND",53,54
84039,"OH",88,89
84040,"OK",77,78
84041,"OR",36,37
84042,"PA",67,68
84044,"RI",5,40
84045,"SC",46,47
84046,"SD",66,67
84047,"TN",95,96
84048,"TX",254,255
84049,"UT",29,30
84050,"VT",14,247
84051,"VA",134,135
84053,"WA",39,40
84054,"WV",55,56
84055,"WI",72,73
84056,"WY",23,24
